$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44445.95,0
44446,56.512
44446.04,163.544
44446.08,189.16
44446.12,28.808
44446.16,140.2
44446.2,120.944
44446.25,76.328
44446.29,59.712
44446.33,34.872
44446.37,54.912
44446.41,0
44446.45,0
44446.5,59.864
44446.54,293.56
44446.58,13.696
44446.62,89.832
44446.66,147.72
44446.7,0
44446.75,47.232
44446.79,351.584
44446.83,36.576
44446.87,128.16
44446.91,152.224
44446.95,161.632
44447,6.704
44447.04,149.768
44447.08,128.904
44447.12,108.136
44447.16,118.904
44447.2,126.888
44447.25,44.856
44447.29,160.984
44447.33,127.816
44447.37,87.552
44447.41,216.088
44447.45,103.008
44447.5,0
44447.54,0
44447.58,194.816
44447.62,31.44
44447.66,69.584
44447.7,80.464
44447.75,0
44447.79,0
44447.83,236.528
44447.87,247.624
44447.91,127.304
44447.95,138.96
44448,33.504
44448.04,238.632
44448.08,127.12
44448.12,145.48
44448.16,167.808
44448.2,160.904
44448.25,96.952
44448.29,210.376
44448.33,4.496
44448.37,4.792
44448.41,173.416
44448.45,0
44448.5,58.664
44448.54,75.272
44448.58,164.184
44448.62,53.48
44448.66,62.344
44448.7,125.128
44448.75,81.44
44448.79,77.8
44448.83,49.088
44448.87,107.76
44448.91,118.408
44448.95,79.536
44449,31.056
44449.04,105.824
44449.08,97.424
44449.12,47.96
44449.16,102.048
44449.2,76.928
44449.25,62.136
44449.29,74.624
44449.33,86.128
44449.37,160.568
44449.41,216.816
44449.45,0
44449.5,0
44449.54,-25.44
44449.58,0
44449.62,0
44449.66,0
44449.7,10.592
44449.75,32.408
44449.79,31.304
44449.83,37.56
44449.87,25.68
44449.91,24.04
44449.95,35.488
44450,1.768
44450.04,27.784
44450.08,26.856
44450.12,33.928
44450.16,31.768
44450.2,30.808
44450.25,28.176
44450.29,31.28
44450.33,34.096
44450.37,0
44450.41,0
44450.45,0
44450.5,-56.97
44450.54,-47.33
44450.58,-62
44450.62,0
44450.66,0
44450.7,0
44450.75,-4.58
44450.79,0
44450.83,0
44450.87,-10.45
44450.91,0
44450.95,12.328
44451,0
44451.04,32.024
44451.08,6.776
44451.12,0
44451.16,0
44451.2,0
44451.25,19.368
44451.29,0
44451.33,0
44451.37,0
44451.41,148.432
44451.45,15.512
44451.5,54.976
44451.54,45.024
44451.58,0
44451.62,0
44451.66,25.68
44451.7,33.632
44451.75,31.592
44451.79,27.632
44451.83,30.168
44451.87,27.848
44451.91,36.888
44451.95,32.024
44452,58.736
44452.04,0
44452.08,24.816
44452.12,31.864
44452.16,24.816
44452.2,29.232
44452.25,0
44452.29,53.048
44452.33,30.4
44452.37,67.112
44452.41,70.8
44452.45,0
44452.5,75.048
44452.54,31.096
44452.58,37.352
44452.62,31.656
44452.66,34.096
44452.7,31.328
44452.75,28.032
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,110.048
44453.04,12.664
44453.08,0
44453.12,170.344
44453.16,21.4
44453.2,167.576
44453.25,0
44453.29,0
44453.33,0
44453.37,165.92
44453.41,346.936
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-99.39
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
