$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44446,8.976
44446.04,25.984
44446.08,30.056
44446.12,4.576
44446.16,22.28
44446.2,19.216
44446.25,12.128
44446.29,9.488
44446.33,5.544
44446.37,8.728
44446.41,0
44446.45,0
44446.5,9.512
44446.54,46.64
44446.58,2.176
44446.62,14.272
44446.66,23.472
44446.7,0
44446.75,7.504
44446.79,55.864
44446.83,5.808
44446.87,20.36
44446.91,24.184
44446.95,25.68
44447,1.064
44447.04,23.792
44447.08,20.48
44447.12,17.184
44447.16,18.896
44447.2,20.16
44447.25,7.128
44447.29,25.576
44447.33,20.312
44447.37,13.912
44447.41,34.336
44447.45,16.368
44447.5,0
44447.54,0
44447.58,30.952
44447.62,4.992
44447.66,11.056
44447.7,12.784
44447.75,0
44447.79,0
44447.83,37.584
44447.87,39.344
44447.91,20.224
44447.95,22.08
44448,5.32
44448.04,37.912
44448.08,20.2
44448.12,23.112
44448.16,26.664
44448.2,25.568
44448.25,15.408
44448.29,33.424
44448.33,0.712
44448.37,0.76
44448.41,27.552
44448.45,0
44448.5,9.32
44448.54,11.96
44448.58,26.088
44448.62,8.496
44448.66,9.904
44448.7,19.88
44448.75,12.944
44448.79,12.36
44448.83,7.8
44448.87,17.12
44448.91,18.816
44448.95,12.64
44449,4.936
44449.04,16.816
44449.08,15.48
44449.12,7.624
44449.16,16.216
44449.2,12.224
44449.25,9.872
44449.29,11.856
44449.33,13.688
44449.37,25.512
44449.41,34.448
44449.45,0
44449.5,0
44449.54,-4.04
44449.58,0
44449.62,0
44449.66,0
44449.7,1.68
44449.75,5.152
44449.79,4.976
44449.83,5.968
44449.87,4.08
44449.91,3.816
44449.95,5.64
44450,0.28
44450.04,4.416
44450.08,4.264
44450.12,5.392
44450.16,5.048
44450.2,4.896
44450.25,4.48
44450.29,4.968
44450.33,5.416
44450.37,0
44450.41,0
44450.45,0
44450.5,-9.05
44450.54,-7.52
44450.58,-9.85
44450.62,0
44450.66,0
44450.7,0
44450.75,-0.73
44450.79,0
44450.83,0
44450.87,-1.66
44450.91,0
44450.95,1.96
44451,0
44451.04,5.088
44451.08,1.08
44451.12,0
44451.16,0
44451.2,0
44451.25,3.08
44451.29,0
44451.33,0
44451.37,0
44451.41,23.584
44451.45,2.464
44451.5,8.736
44451.54,7.152
44451.58,0
44451.62,0
44451.66,4.08
44451.7,5.344
44451.75,5.016
44451.79,4.392
44451.83,4.792
44451.87,4.424
44451.91,5.864
44451.95,5.088
44452,9.336
44452.04,0
44452.08,3.944
44452.12,5.064
44452.16,3.944
44452.2,4.648
44452.25,0
44452.29,8.432
44452.33,4.832
44452.37,10.664
44452.41,11.248
44452.45,0
44452.5,11.928
44452.54,4.944
44452.58,5.936
44452.62,5.032
44452.66,5.416
44452.7,4.976
44452.75,4.456
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,17.488
44453.04,2.016
44453.08,0
44453.12,27.064
44453.16,3.4
44453.2,26.624
44453.25,0
44453.29,0
44453.33,0
44453.37,26.36
44453.41,55.12
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-15.79
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-6.87
44454.33,0
44454.37,0
44454.41,-5.67
44454.45,-13.4
44454.5,0
44454.54,-11.11
44454.58,-6.26
44454.62,0
44454.66,-36.27
44454.7,0
44454.75,-12.67
44454.79,-21.47
44454.83,0
44454.87,3.272
44454.91,0
44454.95,0
44455,-7.37
44455.04,-8.21
44455.08,-2.7
44455.12,-1.7
44455.16,-2.6
44455.2,0
44455.25,0
44455.29,-0.86
44455.33,-32.63
44455.37,-15.32
44455.41,-6.39
44455.45,-27.89
44455.5,0
44455.54,0
44455.58,0
44455.62,8.752
44455.66,5.952
44455.7,0
44455.75,2.192
44455.79,14.088
44455.83,3.432
44455.87,0
44455.91,0.192
44455.95,11.872
44456,3.312
44456.04,0.856
44456.08,5.68
44456.12,4.176
44456.16,4.552
44456.2,2.088
44456.25,2.696
44456.29,5.688
44456.33,4.224
44456.37,8.448
44456.41,4.008
44456.45,0.984
44456.5,5.072
44456.54,6.224
44456.58,0
44456.62,0
44456.66,6.816
44456.7,3.936
44456.75,1.856
44456.79,4.592
44456.83,0
44456.87,0.824
44456.91,3.904
44456.95,4.088
44457,2.44
44457.04,2.96
44457.08,10.168
44457.12,3.312
44457.16,3.6
44457.2,2.872
44457.25,2.856
44457.29,4.072
44457.33,3.6
44457.37,0
44457.41,4.088
44457.45,0
44457.5,-19.63
44457.54,0
44457.58,0.688
44457.62,9.144
44457.66,2.176
44457.7,0.256
44457.75,1.04
44457.79,11.656
44457.83,0
44457.87,5.048
44457.91,1.256
44457.95,0.112
44458,9.824
44458.04,0
44458.08,0.176
44458.12,5.184
44458.16,16.904
44458.2,7.728
44458.25,5.488
44458.29,18.752
44458.33,21.992
44458.37,8.688
44458.41,13.576
