$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44445.95,0
44446,25.424
44446.04,73.568
44446.08,85.096
44446.12,12.96
44446.16,63.072
44446.2,54.408
44446.25,34.336
44446.29,26.864
44446.33,15.688
44446.37,24.704
44446.41,0
44446.45,0
44446.5,26.928
44446.54,132.056
44446.58,6.16
44446.62,40.416
44446.66,66.456
44446.7,0
44446.75,21.248
44446.79,158.16
44446.83,16.456
44446.87,57.656
44446.91,68.48
44446.95,72.712
44447,3.016
44447.04,67.368
44447.08,57.992
44447.12,48.648
44447.16,53.488
44447.2,57.08
44447.25,20.176
44447.29,72.416
44447.33,57.496
44447.37,39.384
44447.41,97.208
44447.45,46.336
44447.5,0
44447.54,0
44447.58,87.64
44447.62,14.144
44447.66,31.304
44447.7,36.2
44447.75,0
44447.79,0
44447.83,106.4
44447.87,111.392
44447.91,57.264
44447.95,62.512
44448,15.072
44448.04,107.352
44448.08,57.184
44448.12,65.44
44448.16,75.488
44448.2,72.384
44448.25,43.616
44448.29,94.64
44448.33,2.024
44448.37,2.16
44448.41,78.008
44448.45,0
44448.5,26.392
44448.54,33.864
44448.58,73.864
44448.62,24.056
44448.66,28.048
44448.7,56.288
44448.75,36.64
44448.79,35
44448.83,22.08
44448.87,48.48
44448.91,53.264
44448.95,35.776
44449,13.968
44449.04,47.608
44449.08,43.824
44449.12,21.576
44449.16,45.904
44449.2,34.608
44449.25,27.952
44449.29,33.568
44449.33,38.744
44449.37,72.232
44449.41,97.536
44449.45,0
44449.5,0
44449.54,-11.44
44449.58,0
44449.62,0
44449.66,0
44449.7,4.768
44449.75,14.576
44449.79,14.08
44449.83,16.896
44449.87,11.552
44449.91,10.816
44449.95,15.968
44450,0.8
44450.04,12.496
44450.08,12.08
44450.12,15.264
44450.16,14.288
44450.2,13.864
44450.25,12.672
44450.29,14.072
44450.33,15.336
44450.37,0
44450.41,0
44450.45,0
44450.5,-25.63
44450.54,-21.29
44450.58,-27.89
44450.62,0
44450.66,0
44450.7,0
44450.75,-2.06
44450.79,0
44450.83,0
44450.87,-4.7
44450.91,0
44450.95,5.544
44451,0
44451.04,14.408
44451.08,3.048
44451.12,0
44451.16,0
44451.2,0
44451.25,8.712
44451.29,0
44451.33,0
44451.37,0
44451.41,66.776
44451.45,6.976
44451.5,24.728
44451.54,20.256
44451.58,0
44451.62,0
44451.66,11.552
44451.7,15.128
44451.75,14.216
44451.79,12.432
44451.83,13.568
44451.87,12.528
44451.91,16.592
44451.95,14.408
44452,26.424
44452.04,0
44452.08,11.16
44452.12,14.336
44452.16,11.16
44452.2,13.152
44452.25,0
44452.29,23.864
44452.33,13.672
44452.37,30.192
44452.41,31.848
44452.45,0
44452.5,33.76
44452.54,13.992
44452.58,16.8
44452.62,14.24
44452.66,15.336
44452.7,14.096
44452.75,12.608
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,49.504
44453.04,5.696
44453.08,0
44453.12,76.632
44453.16,9.624
44453.2,75.384
44453.25,0
44453.29,0
44453.33,0
44453.37,74.64
44453.41,156.072
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-44.71
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-19.45
44454.33,0
44454.37,0
44454.41,-16.05
44454.45,-37.94
44454.5,0
44454.54,-31.46
44454.58,-17.73
44454.62,0
44454.66,-102.69
44454.7,0
44454.75,-35.88
44454.79,-60.8
44454.83,0
44454.87,9.264
44454.91,0
44454.95,0
44455,-20.86
44455.04,-23.26
44455.08,-7.65
44455.12,-4.82
44455.16,-7.37
44455.2,0
44455.25,0
44455.29,-2.44
44455.33,-92.38
44455.37,-43.37
44455.41,-18.1
44455.45,-78.97
44455.5,0
44455.54,0
44455.58,0
44455.62,24.768
44455.66,16.864
44455.7,0
44455.75,6.2
44455.79,39.896
44455.83,9.712
44455.87,0
44455.91,0.552
44455.95,33.608
44456,9.376
44456.04,2.416
44456.08,16.08
44456.12,11.816
44456.16,12.896
44456.2,5.904
44456.25,7.64
44456.29,16.096
44456.33,11.968
44456.37,23.92
44456.41,11.352
44456.45,2.776
44456.5,14.368
44456.54,17.624
44456.58,0
44456.62,0
44456.66,19.304
44456.7,11.152
44456.75,5.248
44456.79,13
44456.83,0
44456.87,2.328
44456.91,11.048
44456.95,11.568
44457,6.912
44457.04,8.376
44457.08,28.792
44457.12,9.384
44457.16,10.2
44457.2,8.128
44457.25,8.08
44457.29,11.52
44457.33,10.184
44457.37,0
44457.41,11.576
44457.45,0
44457.5,-55.58
44457.54,0
44457.58,1.944
44457.62,25.888
44457.66,6.152
44457.7,0.736
