year,head_pair,valid_hours,nonpositive_hours,near_zero_le_0p05m_hours,min_head_m,p05_head_m,median_head_m,p95_head_m,max_head_m
2020,BHT_minus_SJ,406,80,86,-4.769999999999982,-0.10000000000002274,0.2099999999999227,1.8100000000000307,23.889999999999986
2020,BHT_minus_XLD,406,14,19,-0.6200000000000045,0.05250000000006594,0.35000000000002274,0.6299999999999955,0.7899999999999636
2020,SJ_minus_XLD,5160,123,280,-23.639999999999986,0.049999999999954525,0.2899999999999636,3.659999999999974,8.779999999999973
2021,BHT_minus_SJ,8758,425,846,-0.5600000000000591,0.009999999999990905,1.9099999999999682,27.040000000000077,34.5
2021,BHT_minus_XLD,8758,50,87,-0.6200000000000045,0.2299999999999045,2.340000000000032,40.83999999999993,53.530000000000086
2021,SJ_minus_XLD,8760,43,54,-0.6899999999999409,0.18999999999994088,0.39999999999997726,13.899999999999977,26.590000000000032
2022,BHT_minus_SJ,8583,557,757,-1.2700000000000955,-0.030000000000086402,3.7999999999999545,25.239000000000008,31.32000000000005
2022,BHT_minus_XLD,8759,121,161,-1.5399999999999636,0.1689999999999717,4.009999999999991,32.96400000000005,42.67999999999995
2022,SJ_minus_XLD,8584,179,259,-0.9900000000000091,0.10000000000002274,0.38999999999998636,7.898499999999973,16.93999999999994
2023,BHT_minus_SJ,8668,31,78,-19.539999999999964,0.25,17.095000000000027,27.449999999999932,34.460000000000036
2023,BHT_minus_XLD,8751,2,3,-3.189999999999941,0.6850000000000023,17.629999999999995,36.59500000000003,40.41999999999996
2023,SJ_minus_XLD,8668,299,317,-24.699999999999932,0.19000000000005457,1.0199999999999818,9.742999999999999,20.480000000000018
2024,BHT_minus_SJ,8780,64,110,-37.309999999999945,0.2699999999999818,3.7199999999999704,22.030499999999964,26.029999999999973
2024,BHT_minus_XLD,8784,17,37,-0.5599999999999454,0.38999999999998636,4.149999999999977,25.00999999999999,30.120000000000005
2024,SJ_minus_XLD,8780,359,505,-6.6299999999999955,0.029999999999972715,0.4499999999999318,3.0399999999999636,52.02999999999997
2025,BHT_minus_SJ,8709,191,469,-12.92999999999995,0.049999999999954525,2.419999999999959,22.450000000000045,28.199999999999932
2025,BHT_minus_XLD,8708,30,39,-0.5199999999999818,0.3100000000000591,2.8099999999999454,26.379999999999995,33.969999999999914
2025,SJ_minus_XLD,8713,64,84,-4.809999999999945,0.16000000000008185,0.43000000000006366,4.289999999999964,26.069999999999936
