$Water balance Flows: computed flow to complete water balance,
BHT,
JDAY,QWB
44444.79,154.24
44444.83,154.24
44444.87,154.24
44444.91,154.24
44444.95,154.24
44445,154.24
44445.04,154.24
44445.08,154.24
44445.12,154.24
44445.16,154.24
44445.2,154.24
44445.25,154.24
44445.29,154.24
44445.33,154.24
44445.37,154.24
44445.41,154.24
44445.45,154.24
44445.5,154.24
44445.54,154.24
44445.58,154.24
44445.62,154.24
44445.66,154.24
44445.7,154.24
44445.75,154.24
44445.79,154.24
44445.83,154.24
44445.87,154.24
44445.91,154.24
44445.95,154.24
44446,154.24
44446.04,154.24
44446.08,154.24
44446.12,154.24
44446.16,154.24
44446.2,154.24
44446.25,154.24
44446.29,154.24
44446.33,154.24
44446.37,154.24
44446.41,154.24
44446.45,154.24
44446.5,154.24
44446.54,154.24
44446.58,154.24
44446.62,154.24
44446.66,154.24
44446.7,154.24
44446.75,154.24
44446.79,154.24
44446.83,154.24
44446.87,154.24
44446.91,154.24
44446.95,154.24
44447,154.24
44447.04,154.24
44447.08,154.24
44447.12,154.24
44447.16,154.24
44447.2,154.24
44447.25,154.24
44447.29,154.24
44447.33,154.24
44447.37,154.24
44447.41,154.24
44447.45,154.24
44447.5,154.24
44447.54,154.24
44447.58,154.24
44447.62,154.24
44447.66,154.24
44447.7,154.24
44447.75,154.24
44447.79,154.24
44447.83,154.24
44447.87,154.24
44447.91,154.24
44447.95,154.24
44448,154.24
44448.04,154.24
44448.08,154.24
44448.12,154.24
44448.16,154.24
44448.2,154.24
44448.25,154.24
44448.29,154.24
44448.33,154.24
44448.37,154.24
44448.41,154.24
44448.45,154.24
44448.5,154.24
44448.54,154.24
44448.58,154.24
44448.62,154.24
44448.66,154.24
44448.7,154.24
44448.75,154.24
44448.79,154.24
44448.83,154.24
44448.87,154.24
44448.91,154.24
44448.95,154.24
44449,154.24
44449.04,154.24
44449.08,154.24
44449.12,154.24
44449.16,154.24
44449.2,154.24
44449.25,154.24
44449.29,154.24
44449.33,154.24
44449.37,154.24
44449.41,154.24
44449.45,154.24
44449.5,154.24
44449.54,154.24
44449.58,154.24
44449.62,154.24
44449.66,154.24
44449.7,154.24
44449.75,154.24
44449.79,154.24
44449.83,154.24
44449.87,154.24
44449.91,154.24
44449.95,154.24
44450,154.24
44450.04,154.24
44450.08,154.24
44450.12,154.24
44450.16,154.24
44450.2,154.24
44450.25,154.24
44450.29,154.24
44450.33,154.24
44450.37,154.24
44450.41,154.24
44450.45,154.24
44450.5,154.24
44450.54,154.24
44450.58,154.24
44450.62,154.24
44450.66,154.24
44450.7,154.24
44450.75,154.24
44450.79,154.24
44450.83,154.24
44450.87,154.24
44450.91,154.24
44450.95,154.24
44451,154.24
44451.04,154.24
44451.08,154.24
44451.12,154.24
44451.16,154.24
44451.2,154.24
44451.25,154.24
44451.29,154.24
44451.33,154.24
44451.37,154.24
44451.41,154.24
44451.45,154.24
44451.5,154.24
44451.54,154.24
44451.58,154.24
44451.62,154.24
44451.66,154.24
44451.7,154.24
44451.75,154.24
44451.79,154.24
44451.83,154.24
44451.87,154.24
44451.91,154.24
44451.95,154.24
44452,154.24
44452.04,154.24
44452.08,154.24
44452.12,154.24
44452.16,154.24
44452.2,154.24
44452.25,154.24
44452.29,154.24
44452.33,154.24
44452.37,154.24
44452.41,154.24
44452.45,154.24
44452.5,154.24
44452.54,154.24
44452.58,154.24
44452.62,154.24
44452.66,154.24
44452.7,154.24
44452.75,154.24
44452.79,154.24
44452.83,154.24
44452.87,154.24
44452.91,154.24
44452.95,154.24
44453,154.24
44453.04,154.24
44453.08,154.24
44453.12,154.24
44453.16,154.24
44453.2,154.24
44453.25,154.24
44453.29,154.24
44453.33,154.24
44453.37,154.24
44453.41,154.24
44453.45,154.24
44453.5,154.24
44453.54,154.24
44453.58,154.24
44453.62,154.24
44453.66,154.24
44453.7,154.24
44453.75,154.24
44453.79,154.24
44453.83,154.24
44453.87,154.24
44453.91,154.24
44453.95,154.24
44454,154.24
44454.04,154.24
44454.08,154.24
44454.12,154.24
44454.16,154.24
44454.2,154.24
44454.25,154.24
44454.29,154.24
44454.33,154.24
44454.37,154.24
44454.41,154.24
44454.45,154.24
44454.5,154.24
44454.54,154.24
44454.58,154.24
44454.62,154.24
44454.66,154.24
44454.7,154.24
44454.75,154.24
44454.79,154.24
44454.83,154.24
44454.87,154.24
44454.91,154.24
44454.95,154.24
44455,154.24
44455.04,154.24
44455.08,154.24
44455.12,154.24
44455.16,154.24
44455.2,154.24
44455.25,154.24
44455.29,154.24
44455.33,154.24
44455.37,154.24
44455.41,154.24
44455.45,154.24
44455.5,154.24
44455.54,154.24
44455.58,154.24
44455.62,154.24
44455.66,154.24
44455.7,154.24
44455.75,154.24
44455.79,154.24
44455.83,154.24
44455.87,154.24
44455.91,154.24
44455.95,154.24
44456,154.24
44456.04,154.24
44456.08,154.24
44456.12,154.24
44456.16,154.24
44456.2,154.24
44456.25,154.24
44456.29,154.24
44456.33,154.24
44456.37,154.24
44456.41,154.24
44456.45,154.24
44456.5,154.24
44456.54,154.24
44456.58,154.24
44456.62,154.24
44456.66,154.24
44456.7,154.24
44456.75,154.24
44456.79,154.24
44456.83,154.24
44456.87,154.24
44456.91,154.24
44456.95,154.24
44457,154.24
44457.04,154.24
44457.08,154.24
44457.12,154.24
44457.16,154.24
44457.2,154.24
44457.25,154.24
44457.29,154.24
44457.33,154.24
44457.37,154.24
44457.41,154.24
44457.45,154.24
44457.5,154.24
44457.54,154.24
44457.58,154.24
44457.62,154.24
44457.66,154.24
44457.7,154.24
44457.75,154.24
44457.79,154.24
44457.83,154.24
44457.87,154.24
44457.91,154.24
44457.95,154.24
44458,154.24
44458.04,154.24
44458.08,154.24
44458.12,154.24
44458.16,154.24
44458.2,154.24
44458.25,154.24
44458.29,154.24
44458.33,154.24
44458.37,154.24
44458.41,154.24
44458.45,154.24
44458.5,154.24
44458.54,154.24
44458.58,154.24
44458.62,154.24
44458.66,154.24
44458.7,154.24
44458.75,154.24
44458.79,154.24
44458.83,154.24
44458.87,154.24
44458.91,154.24
44458.95,154.24
44459,154.24
44459.04,154.24
44459.08,154.24
44459.12,154.24
44459.16,154.24
44459.2,154.24
44459.25,154.24
44459.29,154.24
44459.33,154.24
44459.37,154.24
44459.41,154.24
44459.45,154.24
44459.5,154.24
44459.54,154.24
44459.58,154.24
44459.62,154.24
44459.66,154.24
44459.7,154.24
44459.75,154.24
44459.79,154.24
44459.83,154.24
44459.87,154.24
44459.91,154.24
44459.95,154.24
44460,154.24
44460.04,154.24
44460.08,154.24
44460.12,154.24
44460.16,154.24
44460.2,154.24
44460.25,154.24
44460.29,154.24
44460.33,154.24
44460.37,154.24
44460.41,154.24
44460.45,154.24
44460.5,154.24
44460.54,154.24
44460.58,154.24
44460.62,154.24
44460.66,154.24
44460.7,154.24
44460.75,154.24
44460.79,154.24
44460.83,154.24
44460.87,154.24
44460.91,154.24
44460.95,154.24
44461,154.24
44461.04,154.24
44461.08,154.24
44461.12,154.24
44461.16,154.24
44461.2,154.24
44461.25,154.24
44461.29,154.24
44461.33,154.24
44461.37,154.24
44461.41,154.24
44461.45,154.24
44461.5,154.24
44461.54,154.24
44461.58,154.24
44461.62,154.24
44461.66,154.24
44461.7,154.24
44461.75,154.24
44461.79,154.24
44461.83,154.24
44461.87,154.24
44461.91,154.24
44461.95,154.24
44462,154.24
44462.04,154.24
44462.08,154.24
44462.12,154.24
44462.16,154.24
44462.2,154.24
44462.25,154.24
44462.29,154.24
44462.33,154.24
44462.37,154.24
44462.41,154.24
44462.45,154.24
44462.5,154.24
44462.54,154.24
44462.58,154.24
44462.62,154.24
44462.66,154.24
44462.7,154.24
44462.75,154.24
44462.79,154.24
44462.83,154.24
44462.87,154.24
44462.91,154.24
44462.95,154.24
44463,154.24
44463.04,154.24
44463.08,154.24
44463.12,154.24
44463.16,154.24
44463.2,154.24
44463.25,154.24
44463.29,154.24
44463.33,154.24
44463.37,154.24
44463.41,154.24
44463.45,154.24
44463.5,154.24
44463.54,154.24
44463.58,154.24
44463.62,154.24
44463.66,154.24
44463.7,154.24
44463.75,154.24
44463.79,154.24
44463.83,154.24
44463.87,154.24
44463.91,154.24
44463.95,154.24
44464,154.24
44464.04,154.24
44464.08,154.24
44464.12,154.24
44464.16,154.24
44464.2,154.24
44464.25,154.24
44464.29,154.24
44464.33,154.24
44464.37,154.24
44464.41,154.24
44464.45,154.24
44464.5,154.24
44464.54,154.24
44464.58,154.24
44464.62,154.24
44464.66,154.24
44464.7,154.24
44464.75,154.24
44464.79,154.24
44464.83,154.24
44464.87,154.24
44464.91,154.24
44464.95,154.24
44465,154.24
44465.04,154.24
44465.08,154.24
44465.12,154.24
44465.16,154.24
44465.2,154.24
44465.25,154.24
44465.29,154.24
44465.33,154.24
44465.37,154.24
44465.41,154.24
44465.45,154.24
44465.5,154.24
44465.54,154.24
44465.58,154.24
44465.62,154.24
44465.66,154.24
44465.7,154.24
44465.75,154.24
44465.79,154.24
44465.83,154.24
44465.87,154.24
44465.91,154.24
44465.95,154.24
44466,154.24
44466.04,154.24
44466.08,154.24
44466.12,154.24
44466.16,154.24
44466.2,154.24
44466.25,154.24
44466.29,154.24
44466.33,154.24
44466.37,154.24
44466.41,154.24
44466.45,154.24
44466.5,154.24
44466.54,154.24
44466.58,154.24
44466.62,154.24
44466.66,154.24
44466.7,154.24
44466.75,154.24
44466.79,154.24
44466.83,154.24
44466.87,154.24
44466.91,154.24
44466.95,154.24
44467,154.24
44467.04,154.24
44467.08,154.24
44467.12,154.24
44467.16,154.24
44467.2,154.24
44467.25,154.24
44467.29,154.24
44467.33,154.24
44467.37,154.24
44467.41,154.24
44467.45,154.24
44467.5,154.24
44467.54,154.24
44467.58,154.24
44467.62,154.24
44467.66,154.24
44467.7,154.24
44467.75,154.24
44467.79,154.24
44467.83,154.24
44467.87,154.24
44467.91,154.24
44467.95,154.24
44468,154.24
44468.04,154.24
44468.08,154.24
44468.12,154.24
44468.16,154.24
44468.2,154.24
44468.25,154.24
44468.29,154.24
44468.33,154.24
44468.37,154.24
44468.41,154.24
44468.45,154.24
44468.5,154.24
44468.54,154.24
44468.58,154.24
44468.62,154.24
44468.66,154.24
44468.7,154.24
44468.75,154.24
44468.79,154.24
44468.83,154.24
44468.87,154.24
44468.91,154.24
44468.95,154.24
44469,154.24
44469.04,154.24
44469.08,154.24
44469.12,154.24
44469.16,154.24
44469.2,154.24
44469.25,154.24
44469.29,154.24
44469.33,154.24
44469.37,154.24
44469.41,154.24
44469.45,154.24
44469.5,154.24
44469.54,154.24
44469.58,154.24
44469.62,154.24
44469.66,154.24
44469.7,154.24
44469.75,154.24
44469.79,154.24
44469.83,154.24
44469.87,154.24
44469.91,154.24
44469.95,154.24
44470,154.24
44470.04,154.24
44470.08,154.24
44470.12,154.24
44470.16,154.24
44470.2,154.24
44470.25,154.24
44470.29,154.24
44470.33,154.24
44470.37,154.24
44470.41,154.24
44470.45,154.24
44470.5,154.24
44470.54,154.24
44470.58,154.24
44470.62,154.24
44470.66,154.24
44470.7,154.24
44470.75,154.24
44470.79,154.24
44470.83,154.24
44470.87,154.24
44470.91,154.24
44470.95,154.24
44471,154.24
44471.04,154.24
44471.08,154.24
44471.12,154.24
44471.16,154.24
44471.2,154.24
44471.25,154.24
44471.29,154.24
44471.33,154.24
44471.37,154.24
44471.41,154.24
44471.45,154.24
44471.5,154.24
44471.54,154.24
44471.58,154.24
44471.62,154.24
44471.66,154.24
44471.7,154.24
44471.75,154.24
44471.79,154.24
44471.83,154.24
44471.87,154.24
44471.91,154.24
44471.95,154.24
44472,154.24
44472.04,154.24
44472.08,154.24
44472.12,154.24
44472.16,154.24
44472.2,154.24
44472.25,154.24
44472.29,154.24
44472.33,154.24
44472.37,154.24
44472.41,154.24
44472.45,154.24
44472.5,154.24
44472.54,154.24
44472.58,154.24
44472.62,154.24
44472.66,154.24
44472.7,154.24
44472.75,154.24
44472.79,154.24
44472.83,154.24
44472.87,154.24
44472.91,154.24
44472.95,154.24
44473,154.24
44473.04,154.24
44473.08,154.24
44473.12,154.24
44473.16,154.24
44473.2,154.24
44473.25,154.24
44473.29,154.24
44473.33,154.24
44473.37,154.24
44473.41,154.24
44473.45,154.24
44473.5,154.24
44473.54,154.24
