$Temperature file for segment 76
To the right of the sum of temperatures are individual temperatures starting with downstream then lateral withdrawals
JDAY,T(C),
  40544.0000,    4.50,            4.50,    4.50,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.50,  -99.00,
  40544.0419,    4.48,            4.48,    4.48,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.48,  -99.00,
  40544.0834,    4.46,            4.46,    4.46,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.46,  -99.00,
  40544.1250,    4.43,            4.43,    4.43,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.43,  -99.00,
  40544.1679,    4.41,            4.41,    4.41,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.41,  -99.00,
  40544.2096,    4.38,            4.38,    4.38,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.38,  -99.00,
  40544.2500,    4.36,            4.36,    4.36,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.36,  -99.00,
  40544.2930,    4.33,            4.33,    4.33,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.33,  -99.00,
  40544.3346,    4.30,            4.30,    4.30,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.30,  -99.00,
  40544.3750,    4.27,            4.27,    4.27,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.27,  -99.00,
  40544.4178,    4.25,            4.25,    4.25,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.25,  -99.00,
  40544.4584,    4.22,            4.22,    4.22,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.22,  -99.00,
  40544.5000,    4.19,            4.19,    4.19,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.19,  -99.00,
  40544.5419,    4.16,            4.16,    4.16,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.16,  -99.00,
  40544.5834,    4.14,            4.14,    4.14,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.14,  -99.00,
  40544.6250,    4.11,            4.11,    4.11,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.11,  -99.00,
  40544.6679,    4.08,            4.08,    4.08,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.08,  -99.00,
  40544.7084,    4.06,            4.06,    4.06,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,  -99.00,    4.06,  -99.00,
