case,alpha,tail_eta_max,tail_q_max,seg2_bias,seg222_bias,head_bias,v10_qphys_mean,v10_qout_mean,v10_qout_minus_qphys_mean,v10_qout_minus_qphys_min,v10_qout_minus_qphys_max
baseline_v21,0,0.45645,10255,1.120442,0.149213,0.971229,4793.00455,4738.713169,-54.29138,-4616.84,10576.757
new_a05,0.05,0.45645,10255,1.122047,0.149182,0.972865,4801.527077,4747.031659,-54.495419,-4624.978,10569.047
new_a10,0.1,0.45645,10255,1.123866,0.149182,0.974684,4809.062377,4754.4632,-54.599177,-4633.116,10561.337
new_a15,0.15,0.45645,10255,1.126628,0.149152,0.977476,4815.647474,4761.058618,-54.588857,-4641.253,10553.627
new_a20,0.2,0.45645,10255,1.128432,0.14909,0.979341,4824.833138,4770.116955,-54.716183,-4649.389,10545.917
old_a20,0.2,2.6572,2155.9,-2.850892,-1.925483,-0.925409,3926.521912,3875.600821,-50.921091,-6507.132,12012.098
