$,,,,,,
,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197.33,-2.2,-5.48,0.27,3.09,3.07,600.4
44197.38,-2.14,-5.84,0.58,0.49,2.21,600.43
44197.42,1.13,-4.92,0.71,0.51,1.26,600.59
44197.46,2.12,-4.7,0.44,3.1,1.11,600.87
44197.5,2.22,-4.61,0.43,1.32,1.3,600.45
44197.54,6.65,-3.69,0.9,0.85,1.88,599.61
44197.58,7.08,-3.11,1.15,0.57,1.95,598.53
44197.62,7.33,-2.74,1.29,0.4,1.91,598.18
44197.67,8.28,-2.29,1.24,0.23,1.56,597.86
44197.71,8.03,-2.35,1.36,0.2,2.89,598.09
44197.75,3.38,-1.24,1.43,0.37,2.79,597.83
44197.79,3.8,-2.31,1.89,0.51,3.38,597.82
44197.83,4.17,-2.17,1.86,0.51,2.02,598.16
44197.88,4.01,-2.02,1.86,0.54,1.68,598.44
44197.92,3.37,-1.29,1.76,0.52,0.47,598.71
44197.96,1.27,-1.56,1.55,0.51,0.54,598.88
44198,0.94,-1.61,1.27,0.4,1.17,598.8
44198.04,0.75,-1.44,0.91,0.16,2.64,598.64
44198.08,0.32,-1.64,0.67,3.07,2.78,598.16
44198.12,0.09,-1.79,0.63,2.89,2.36,597.76
44198.17,-0.15,-1.81,0.55,2.84,1.58,597.45
44198.21,-0.61,-2.12,0.55,2.67,2.43,597.18
44198.25,-1.05,-2.04,1.04,2.07,5.99,597.09
44198.29,-1.04,-2.01,0.85,1.9,7.79,596.9
44198.33,-0.98,-2.09,0.6,2.11,9.6,597.53
44198.38,-1.09,-2.33,0.43,2.27,10,598.03
44198.42,4.65,-0.46,0.52,2.21,9.84,598.27
44198.46,5.27,-0.32,0.56,2.41,6.22,598.45
44198.5,6.32,0.43,0.54,1.99,0.59,597.79
44198.54,10.63,1.18,0.62,1.68,0.71,596.92
44198.58,11.49,1.92,0.57,1.79,0.43,596
44198.62,12.19,2.26,0.57,2.14,1.58,595.3
44198.67,13.21,1.84,0.78,2.52,0.41,594.85
44198.71,13.03,1.42,0.93,3.01,0.69,594.91
44198.75,9.54,0.75,1.33,0.34,1.69,594.81
