$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44446,70.64
44446.04,204.43
44446.08,236.45
44446.12,36.01
44446.16,175.25
44446.2,151.18
44446.25,95.41
44446.29,74.64
44446.33,43.59
44446.37,68.64
44446.41,0
44446.45,0
44446.5,74.83
44446.54,366.95
44446.58,17.12
44446.62,112.29
44446.66,184.65
44446.7,0
44446.75,59.04
44446.79,439.48
44446.83,45.72
44446.87,160.2
44446.91,190.28
44446.95,202.04
44447,8.38
44447.04,187.21
44447.08,161.13
44447.12,135.17
44447.16,148.63
44447.2,158.61
44447.25,56.07
44447.29,201.23
44447.33,159.77
44447.37,109.44
44447.41,270.11
44447.45,128.76
44447.5,0
44447.54,0
44447.58,243.52
44447.62,39.3
44447.66,86.98
44447.7,100.58
44447.75,0
44447.79,0
44447.83,295.66
44447.87,309.53
44447.91,159.13
44447.95,173.7
44448,41.88
44448.04,298.29
44448.08,158.9
44448.12,181.85
44448.16,209.76
44448.2,201.13
44448.25,121.19
44448.29,262.97
44448.33,5.62
44448.37,5.99
44448.41,216.77
44448.45,0
44448.5,73.33
44448.54,94.09
44448.58,205.23
44448.62,66.85
44448.66,77.93
44448.7,156.41
44448.75,101.8
44448.79,97.25
44448.83,61.36
44448.87,134.7
44448.91,148.01
44448.95,99.42
44449,38.82
44449.04,132.28
44449.08,121.78
44449.12,59.95
44449.16,127.56
44449.2,96.16
44449.25,77.67
44449.29,93.28
44449.33,107.66
44449.37,200.71
44449.41,271.02
44449.45,0
44449.5,0
44449.54,-25.44
44449.58,0
44449.62,0
44449.66,0
44449.7,13.24
44449.75,40.51
44449.79,39.13
44449.83,46.95
44449.87,32.1
44449.91,30.05
44449.95,44.36
44450,2.21
44450.04,34.73
44450.08,33.57
44450.12,42.41
44450.16,39.71
44450.2,38.51
44450.25,35.22
44450.29,39.1
44450.33,42.62
44450.37,0
44450.41,0
44450.45,0
44450.5,-56.97
44450.54,-47.33
44450.58,-62
44450.62,0
44450.66,0
44450.7,0
44450.75,-4.58
44450.79,0
44450.83,0
44450.87,-10.45
44450.91,0
44450.95,15.41
44451,0
44451.04,40.03
44451.08,8.47
44451.12,0
44451.16,0
44451.2,0
44451.25,24.21
44451.29,0
44451.33,0
44451.37,0
44451.41,185.54
44451.45,19.39
44451.5,68.72
44451.54,56.28
44451.58,0
44451.62,0
44451.66,32.1
44451.7,42.04
44451.75,39.49
44451.79,34.54
44451.83,37.71
44451.87,34.81
44451.91,46.11
44451.95,40.03
44452,73.42
44452.04,0
44452.08,31.02
