$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:7.       

JDAY,T(C)
  40569.9167,    4.93
  40569.9584,    4.95
  40570.0000,    4.96
  40570.0422,    4.96
  40570.0834,    4.95
  40570.1250,    4.95
  40570.1667,    4.94
  40570.2084,    4.93
  40570.2500,    4.92
  40570.2920,    4.91
  40570.3334,    4.91
  40570.3750,    4.91
  40570.4173,    4.92
  40570.4584,    4.94
  40570.5000,    4.96
  40570.5419,    4.98
  40570.5834,    5.01
  40570.6250,    5.04
  40570.6672,    5.08
  40570.7083,    5.11
  40570.7500,    5.14
  40570.7918,    5.17
  40570.8333,    5.20
  40570.8750,    5.23
  40570.9171,    5.26
  40570.9583,    5.29
  40571.0000,    5.31
  40571.0417,    5.33
  40571.0839,    5.34
  40571.1250,    5.34
  40571.1670,    5.33
  40571.2089,    5.31
  40571.2500,    5.29
  40571.2918,    5.27
  40571.3333,    5.23
  40571.3750,    5.20
  40571.4170,    5.16
  40571.4583,    5.14
  40571.5000,    5.11
  40571.5417,    5.10
  40571.5839,    5.09
  40571.6250,    5.10
  40571.6672,    5.11
  40571.7089,    5.11
  40571.7500,    5.12
  40571.7920,    5.13
  40571.8339,    5.15
  40571.8750,    5.16
  40571.9172,    5.19
  40571.9583,    5.21
  40572.0000,    5.23
  40572.0421,    5.25
  40572.0839,    5.26
  40572.1250,    5.27
  40572.1671,    5.26
  40572.2089,    5.25
  40572.2500,    5.22
  40572.2919,    5.19
  40572.3333,    5.16
  40572.3750,    5.12
  40572.4170,    5.09
  40572.4583,    5.07
  40572.5000,    5.06
  40572.5420,    5.04
  40572.5833,    5.03
  40572.6250,    5.03
  40572.6670,    5.03
  40572.7083,    5.03
  40572.7500,    5.03
  40572.7920,    5.03
  40572.8333,    5.03
  40572.8750,    5.02
  40572.9170,    5.00
  40572.9584,    4.99
  40573.0000,    4.96
  40573.0420,    4.92
  40573.0834,    4.88
  40573.1250,    4.83
  40573.1671,    4.79
  40573.2085,    4.74
  40573.2500,    4.69
  40573.2920,    4.65
  40573.3335,    4.62
  40573.3750,    4.59
  40573.4169,    4.57
  40573.4585,    4.55
  40573.5000,    4.53
  40573.5418,    4.51
  40573.5835,    4.50
  40573.6250,    4.49
  40573.6669,    4.48
  40573.7086,    4.48
  40573.7500,    4.47
  40573.7920,    4.47
  40573.8336,    4.48
  40573.8750,    4.48
  40573.9171,    4.48
  40573.9586,    4.47
  40574.0000,    4.47
  40574.0418,    4.46
  40574.0836,    4.44
  40574.1250,    4.43
  40574.1672,    4.40
  40574.2085,    4.37
  40574.2500,    4.34
  40574.2923,    4.31
  40574.3336,    4.29
  40574.3750,    4.26
  40574.4168,    4.24
  40574.4585,    4.22
  40574.5000,    4.21
  40574.5421,    4.20
  40574.5835,    4.18
  40574.6250,    4.18
  40574.6673,    4.17
  40574.7085,    4.17
  40574.7500,    4.17
  40574.7918,    4.17
  40574.8335,    4.17
  40574.8750,    4.17
  40574.9170,    4.17
  40574.9585,    4.17
  40575.0000,    4.18
  40575.0417,    4.19
  40575.0834,    4.19
  40575.1250,    4.20
  40575.1666,    4.21
  40575.2084,    4.21
  40575.2500,    4.22
  40575.2918,    4.22
  40575.3334,    4.22
  40575.3750,    4.22
  40575.4169,    4.20
  40575.4585,    4.17
  40575.5000,    4.14
  40575.5420,    4.11
  40575.5835,    4.07
  40575.6250,    4.03
  40575.6673,    3.98
  40575.7085,    3.94
  40575.7500,    3.90
  40575.7923,    3.86
  40575.8335,    3.82
  40575.8750,    3.78
  40575.9167,    3.75
  40575.9585,    3.72
  40576.0000,    3.70
  40576.0418,    3.68
  40576.0835,    3.66
  40576.1250,    3.64
  40576.1669,    3.62
  40576.2085,    3.61
  40576.2500,    3.60
  40576.2919,    3.59
  40576.3335,    3.58
  40576.3750,    3.57
  40576.4170,    3.55
  40576.4585,    3.54
  40576.5000,    3.52
  40576.5422,    3.50
  40576.5836,    3.48
  40576.6250,    3.46
  40576.6672,    3.44
  40576.7086,    3.42
  40576.7500,    3.41
  40576.7922,    3.39
  40576.8335,    3.38
  40576.8750,    3.37
  40576.9172,    3.37
  40576.9585,    3.37
  40577.0000,    3.37
  40577.0417,    3.37
  40577.0835,    3.38
  40577.1250,    3.39
  40577.1669,    3.40
  40577.2085,    3.40
  40577.2500,    3.41
  40577.2923,    3.42
  40577.3336,    3.41
  40577.3750,    3.41
  40577.4174,    3.40
  40577.4585,    3.39
  40577.5000,    3.38
  40577.5418,    3.37
  40577.5835,    3.37
  40577.6250,    3.37
  40577.6670,    3.37
  40577.7085,    3.39
  40577.7500,    3.40
  40577.7916,    3.41
  40577.8336,    3.43
  40577.8750,    3.44
  40577.9168,    3.45
  40577.9586,    3.47
  40578.0000,    3.48
  40578.0419,    3.50
  40578.0835,    3.51
  40578.1250,    3.53
  40578.1673,    3.55
  40578.2086,    3.57
  40578.2500,    3.60
  40578.2921,    3.62
  40578.3335,    3.65
  40578.3750,    3.66
  40578.4172,    3.67
  40578.4586,    3.67
  40578.5000,    3.68
  40578.5421,    3.69
  40578.5835,    3.71
  40578.6250,    3.74
  40578.6668,    3.78
  40578.7085,    3.80
  40578.7500,    3.83
  40578.7921,    3.85
  40578.8335,    3.88
  40578.8750,    3.91
  40578.9172,    3.95
  40578.9585,    3.99
  40579.0000,    4.02
  40579.0420,    4.05
  40579.0835,    4.08
  40579.1250,    4.12
  40579.1674,    4.16
  40579.2085,    4.20
  40579.2500,    4.24
  40579.2920,    4.28
  40579.3336,    4.31
  40579.3750,    4.34
  40579.4172,    4.36
  40579.4586,    4.37
  40579.5000,    4.37
  40579.5418,    4.37
  40579.5836,    4.36
  40579.6250,    4.35
  40579.6672,    4.33
  40579.7088,    4.31
  40579.7500,    4.29
  40579.7924,    4.28
  40579.8337,    4.27
  40579.8750,    4.27
  40579.9171,    4.27
  40579.9587,    4.28
  40580.0000,    4.28
  40580.0422,    4.29
  40580.0838,    4.31
  40580.1250,    4.34
  40580.1668,    4.37
  40580.2088,    4.41
  40580.2500,    4.45
  40580.2921,    4.48
  40580.3339,    4.51
  40580.3750,    4.53
  40580.4173,    4.55
  40580.4589,    4.57
  40580.5000,    4.58
  40580.5418,    4.59
  40580.5841,    4.60
  40580.6250,    4.62
  40580.6672,    4.63
  40580.7089,    4.64
  40580.7500,    4.64
  40580.7917,    4.63
  40580.8343,    4.62
  40580.8750,    4.62
  40580.9174,    4.62
  40580.9593,    4.61
  40581.0000,    4.61
  40581.0425,    4.61
  40581.0840,    4.61
  40581.1250,    4.60
  40581.1672,    4.61
  40581.2090,    4.62
  40581.2500,    4.62
  40581.2917,    4.62
  40581.3337,    4.62
  40581.3750,    4.62
  40581.4173,    4.62
  40581.4593,    4.63
  40581.5000,    4.64
  40581.5427,    4.64
  40581.5844,    4.65
  40581.6250,    4.65
  40581.6676,    4.65
  40581.7091,    4.64
  40581.7500,    4.64
  40581.7919,    4.62
  40581.8345,    4.61
  40581.8750,    4.59
  40581.9173,    4.56
  40581.9583,    4.53
  40582.0000,    4.51
  40582.0427,    4.48
  40582.0834,    4.46
  40582.1250,    4.43
  40582.1672,    4.40
  40582.2083,    4.38
  40582.2500,    4.35
  40582.2927,    4.34
  40582.3342,    4.32
  40582.3750,    4.31
  40582.4174,    4.30
  40582.4593,    4.29
  40582.5000,    4.29
  40582.5425,    4.29
  40582.5841,    4.29
  40582.6250,    4.29
  40582.6674,    4.30
  40582.7090,    4.31
  40582.7500,    4.32
  40582.7920,    4.32
  40582.8339,    4.33
  40582.8750,    4.33
  40582.9173,    4.33
  40582.9589,    4.34
  40583.0000,    4.34
  40583.0423,    4.33
  40583.0839,    4.33
  40583.1250,    4.31
  40583.1670,    4.30
  40583.2088,    4.29
  40583.2500,    4.27
  40583.2918,    4.25
  40583.3339,    4.23
  40583.3750,    4.22
  40583.4167,    4.21
  40583.4588,    4.20
  40583.5000,    4.19
  40583.5419,    4.19
  40583.5838,    4.18
  40583.6250,    4.18
  40583.6667,    4.18
  40583.7088,    4.19
  40583.7500,    4.19
  40583.7917,    4.20
