case,requested_nseg,configured_nseg,max_supported,actual_domain_nseg,couple_segment,reach_length_m,computational_warning_count,v24_mass_residual_max,v24_flux_gap_max,v27_profile_gap_max,v31_full_storage_residual_max,v32_segment_volume_gap_max,xld_bias_m,xld_rmse_m,xld_stage_q_slope_ratio,ymt_bias_m,ymt_rmse_m,ymt_stage_q_slope_ratio,sj_bias_m,sj_rmse_m,sj_stage_q_slope_ratio,bht_bias_m,bht_rmse_m,bht_stage_q_slope_ratio,ymt_sj_head_bias_m,ymt_sj_head_rmse_m,ymt_sj_head_q_slope_ratio,sj_bht_head_bias_m,sj_bht_head_rmse_m,sj_bht_head_q_slope_ratio,xld_bht_head_bias_m,xld_bht_head_rmse_m,xld_bht_head_q_slope_ratio
tail_nseg_04_case,4,4,64,4,6,3855.0,0,3.8835e-10,0.0,0.0010321,3.8835e-10,0.0010273,0.16054151379512693,0.22651012168766121,0.7383560039758509,-0.021624585832367905,0.20352245050351486,0.5734518838007678,-0.8043518676300355,0.8667099792130809,0.40873352575130806,-0.6483567677211641,1.2572663865735967,0.3885211050079889,-0.7827272817976677,0.8113409677759331,0.25156837659407527,0.15599509990887142,0.9075184395332215,0.38317243037086496,-0.8088982815162911,1.326409006417845,0.36016888580426787
tail_nseg_08_case,8,8,64,8,10,7220.0,0,3.497e-10,0.0,0.002385,3.497e-10,0.002385,0.1307001588827012,0.2017756002944774,0.7336373511710045,-0.04931521668034693,0.20257518977069042,0.5795661505268901,-0.8334338883245462,0.8913967398473666,0.41185395282787296,0.2393867685174135,1.1980556244140508,0.3342908574041142,-0.7841186716441993,0.8127347334670575,0.2518322474212496,1.0728206568419598,1.4730435193955962,0.31376586603676354,0.10868660963471229,1.1505715504240135,0.301925992255093
tail_nseg_12_case,12,12,64,12,14,11140.0,0,1.0841e-09,0.0,0.0038178,1.0841e-09,0.003717,0.09297041007338648,0.1741351512778585,0.726205272034605,-0.08207885399630194,0.20951835485083428,0.5849022305342286,-0.8669594309297087,0.9219669547043745,0.4090779420550045,0.7935111561257382,1.4215420969930281,0.3355755344962511,-0.7848805769334067,0.8139413549232006,0.241316128183571,1.660470587055447,1.9522372222312967,0.31612509518125725,0.7005407460523517,1.3466903396439291,0.30391711511369296
tail_nseg_16_case,16,16,64,16,18,14215.0,0,2.9595e-09,0.0,0.0044411,2.9595e-09,0.0038643,0.04374946604946217,0.1470314033047395,0.7043070344167855,-0.12769544695131252,0.2232094065553332,0.5896000289808666,-0.9144040088710678,0.9628302278020284,0.41594402671916786,1.1405782869761847,1.6486821389383548,0.349807292359032,-0.7867085619197552,0.8144674597371259,0.25025107166121663,2.0549822958472523,2.3146594797556093,0.3323059807572939,1.0968288209267225,1.5936378576398842,0.32107701294969454
tail_nseg_20_case,20,20,64,20,22,19000.0,0,2.1801e-09,0.0,0.0056513,2.1801e-09,0.0056273,-0.010086705650564185,0.1363762394574091,0.682156588894231,-0.17681288103206536,0.24729528000086337,0.584461254633695,-0.9650639667393022,1.0077018543846672,0.41582130198085276,1.5857422192537192,1.982765940824542,0.3610978132698902,-0.7882510857072368,0.8139596101222654,0.25491438409745437,2.550806185993021,2.7667032410111356,0.3466167107913555,1.5958289249042834,1.9678187336739656,0.33507774262903667
tail_nseg_24_case,24,24,64,24,26,22510.0,0,2.4729e-09,0.0,0.0075928,2.4729e-09,0.0071054,-0.12619020205525816,0.18354824533413883,0.6670321376038238,-0.2897515255543751,0.3334471357306816,0.5890824433393432,-1.0662873971631899,1.0980459082694307,0.4261393982617434,1.7941631979630555,2.313940925737826,0.356673528135763,-0.7765358716088148,0.7949413459184717,0.2706681545764154,2.8604505951262453,3.1809712280224063,0.33829125010944644,1.9203534000183136,2.39143010708767,0.3315206478674942
tail_nseg_25_case,25,25,64,25,27,23185.0,0,3.5661e-09,0.0,0.0085131,3.5661e-09,0.0085131,-0.1351525550379207,0.18988774820243404,0.6630370896765867,-0.2994483006766543,0.343044605941825,0.5939042873895557,-0.6814154034762527,0.7259529969520687,0.45660006056830954,1.8418605568360615,2.369482861162373,0.35247672137759833,-0.3819671027995985,0.4087771174991879,0.325591959565991,2.523275960312314,2.890568801223784,0.3249232743890137,1.9770131118739822,2.4547046216067114,0.32730748965149153
tail_nseg_26_case,26,26,64,26,28,23830.0,0,1.4525e-09,0.0,0.0076964,1.4525e-09,0.0076964,-0.13500900014742725,0.1892767473123443,0.6706204877709907,-0.29904641695307227,0.3412519919343981,0.5904913727699208,-0.42400098923852586,0.49965393736644126,0.3941241107166928,1.8815857143828985,2.3744284323899336,0.36141806985915825,-0.12495457228545362,0.20391763945958744,0.206761327383665,2.3055867036214246,2.6677973386132865,0.35276329399450795,2.016594714530326,2.462513024604821,0.33635889263921426
