$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:20.      

JDAY,T(C)
  40554.0417,  -99.00
  40554.0833,  -99.00
  40554.1250,  -99.00
  40554.1677,  -99.00
  40554.2085,  -99.00
  40554.2500,  -99.00
  40554.2925,  -99.00
  40554.3334,  -99.00
  40554.3750,  -99.00
  40554.4175,  -99.00
  40554.4584,  -99.00
  40554.5000,  -99.00
  40554.5425,  -99.00
  40554.5835,  -99.00
  40554.6250,  -99.00
  40554.6670,  -99.00
  40554.7084,  -99.00
  40554.7500,  -99.00
  40554.7921,  -99.00
  40554.8335,  -99.00
  40554.8750,  -99.00
  40554.9179,  -99.00
  40554.9584,  -99.00
  40555.0000,  -99.00
  40555.0425,  -99.00
  40555.0835,  -99.00
  40555.1250,  -99.00
  40555.1670,  -99.00
  40555.2086,  -99.00
  40555.2500,  -99.00
  40555.2928,  -99.00
  40555.3334,  -99.00
  40555.3750,  -99.00
  40555.4169,  -99.00
  40555.4584,  -99.00
  40555.5000,  -99.00
  40555.5419,  -99.00
  40555.5835,  -99.00
  40555.6250,  -99.00
  40555.6674,  -99.00
  40555.7084,  -99.00
  40555.7500,  -99.00
  40555.7922,  -99.00
  40555.8334,  -99.00
  40555.8750,  -99.00
  40555.9176,  -99.00
  40555.9596,  -99.00
  40556.0000,  -99.00
  40556.0425,  -99.00
  40556.0834,  -99.00
  40556.1250,  -99.00
  40556.1676,  -99.00
  40556.2085,  -99.00
  40556.2500,  -99.00
  40556.2925,  -99.00
  40556.3334,  -99.00
  40556.3750,  -99.00
  40556.4169,  -99.00
  40556.4584,  -99.00
  40556.5000,  -99.00
  40556.5416,  -99.00
  40556.5835,  -99.00
  40556.6250,  -99.00
  40556.6678,  -99.00
  40556.7085,  -99.00
  40556.7500,  -99.00
  40556.7924,  -99.00
  40556.8336,  -99.00
  40556.8750,  -99.00
  40556.9170,  -99.00
  40556.9585,  -99.00
  40557.0000,  -99.00
  40557.0420,  -99.00
  40557.0836,  -99.00
  40557.1250,  -99.00
  40557.1668,  -99.00
  40557.2085,  -99.00
  40557.2500,  -99.00
  40557.2930,  -99.00
  40557.3334,  -99.00
  40557.3750,  -99.00
  40557.4168,  -99.00
  40557.4585,  -99.00
  40557.5000,  -99.00
  40557.5418,  -99.00
  40557.5834,  -99.00
  40557.6250,  -99.00
  40557.6672,  -99.00
  40557.7084,  -99.00
  40557.7500,  -99.00
  40557.7923,  -99.00
  40557.8334,  -99.00
  40557.8750,  -99.00
  40557.9180,  -99.00
  40557.9583,  -99.00
  40558.0000,  -99.00
  40558.0417,  -99.00
  40558.0834,  -99.00
  40558.1250,  -99.00
  40558.1667,  -99.00
  40558.2084,  -99.00
  40558.2500,  -99.00
  40558.2924,  -99.00
  40558.3334,  -99.00
  40558.3750,  -99.00
  40558.4179,  -99.00
  40558.4585,  -99.00
  40558.5000,  -99.00
  40558.5423,  -99.00
  40558.5834,  -99.00
  40558.6250,  -99.00
  40558.6676,  -99.00
  40558.7084,  -99.00
  40558.7500,  -99.00
  40558.7917,  -99.00
  40558.8334,  -99.00
  40558.8750,  -99.00
  40558.9176,  -99.00
  40558.9596,  -99.00
  40559.0000,  -99.00
  40559.0426,  -99.00
  40559.0834,  -99.00
  40559.1250,  -99.00
  40559.1680,  -99.00
  40559.2086,  -99.00
  40559.2500,  -99.00
  40559.2928,  -99.00
  40559.3334,  -99.00
  40559.3750,  -99.00
  40559.4167,  -99.00
  40559.4586,  -99.00
  40559.5000,  -99.00
  40559.5420,  -99.00
  40559.5835,  -99.00
  40559.6250,  -99.00
  40559.6668,  -99.00
  40559.7086,  -99.00
  40559.7500,  -99.00
  40559.7928,  -99.00
  40559.8337,  -99.00
  40559.8750,  -99.00
  40559.9168,  -99.00
  40559.9584,  -99.00
  40560.0000,  -99.00
  40560.0425,  -99.00
  40560.0835,  -99.00
  40560.1250,  -99.00
  40560.1674,  -99.00
  40560.2084,  -99.00
  40560.2500,  -99.00
  40560.2923,  -99.00
  40560.3334,  -99.00
  40560.3750,  -99.00
  40560.4171,  -99.00
  40560.4583,  -99.00
  40560.5000,  -99.00
  40560.5418,  -99.00
  40560.5833,  -99.00
  40560.6250,  -99.00
  40560.6673,  -99.00
  40560.7094,  -99.00
  40560.7500,  -99.00
  40560.7927,  -99.00
  40560.8345,  -99.00
  40560.8750,  -99.00
  40560.9173,  -99.00
  40560.9593,  -99.00
  40561.0000,  -99.00
  40561.0428,  -99.00
  40561.0843,  -99.00
  40561.1250,  -99.00
  40561.1677,  -99.00
  40561.2093,  -99.00
  40561.2500,  -99.00
  40561.2917,  -99.00
  40561.3342,  -99.00
  40561.3750,  -99.00
  40561.4175,  -99.00
  40561.4592,  -99.00
  40561.5000,  -99.00
  40561.5423,  -99.00
  40561.5840,  -99.00
  40561.6250,  -99.00
  40561.6670,  -99.00
  40561.7089,  -99.00
  40561.7500,  -99.00
  40561.7918,  -99.00
  40561.8339,  -99.00
  40561.8750,  -99.00
  40561.9167,  -99.00
  40561.9589,  -99.00
  40562.0000,  -99.00
  40562.0422,  -99.00
  40562.0838,  -99.00
  40562.1250,  -99.00
  40562.1674,  -99.00
  40562.2088,  -99.00
  40562.2500,  -99.00
  40562.2917,  -99.00
  40562.3337,  -99.00
  40562.3750,  -99.00
  40562.4175,  -99.00
  40562.4584,  -99.00
  40562.5000,  -99.00
  40562.5423,  -99.00
  40562.5840,  -99.00
  40562.6250,  -99.00
  40562.6673,  -99.00
  40562.7091,  -99.00
  40562.7500,  -99.00
  40562.7918,  -99.00
  40562.8340,  -99.00
  40562.8750,  -99.00
  40562.9171,  -99.00
  40562.9589,  -99.00
  40563.0000,  -99.00
  40563.0417,  -99.00
  40563.0839,  -99.00
  40563.1250,  -99.00
  40563.1671,  -99.00
  40563.2083,  -99.00
  40563.2500,  -99.00
  40563.2922,  -99.00
  40563.3333,  -99.00
  40563.3750,  -99.00
  40563.4171,  -99.00
  40563.4583,  -99.00
  40563.5000,  -99.00
  40563.5421,  -99.00
  40563.5833,  -99.00
  40563.6250,  -99.00
  40563.6666,  -99.00
  40563.7084,  -99.00
  40563.7500,  -99.00
  40563.7917,  -99.00
  40563.8334,  -99.00
  40563.8750,  -99.00
  40563.9173,  -99.00
  40563.9585,  -99.00
  40564.0000,  -99.00
  40564.0423,  -99.00
  40564.0833,  -99.00
  40564.1250,  -99.00
  40564.1670,  -99.00
  40564.2085,  -99.00
  40564.2500,  -99.00
  40564.2920,  -99.00
  40564.3335,  -99.00
  40564.3750,  -99.00
  40564.4169,  -99.00
  40564.4585,  -99.00
  40564.5000,  -99.00
  40564.5418,  -99.00
  40564.5836,  -99.00
  40564.6250,  -99.00
  40564.6668,  -99.00
  40564.7086,  -99.00
  40564.7500,  -99.00
  40564.7922,  -99.00
  40564.8336,  -99.00
  40564.8750,  -99.00
  40564.9172,  -99.00
  40564.9586,  -99.00
  40565.0000,  -99.00
  40565.0421,  -99.00
  40565.0836,  -99.00
  40565.1250,  -99.00
  40565.1667,  -99.00
  40565.2086,  -99.00
  40565.2500,  -99.00
  40565.2918,  -99.00
  40565.3336,  -99.00
  40565.3750,  -99.00
  40565.4172,  -99.00
  40565.4585,  -99.00
  40565.5000,  -99.00
  40565.5423,  -99.00
  40565.5836,  -99.00
  40565.6250,  -99.00
  40565.6667,  -99.00
  40565.7085,  -99.00
  40565.7500,  -99.00
  40565.7921,  -99.00
  40565.8335,  -99.00
  40565.8750,  -99.00
  40565.9173,  -99.00
  40565.9585,  -99.00
  40566.0000,  -99.00
  40566.0418,  -99.00
  40566.0834,  -99.00
  40566.1250,  -99.00
  40566.1672,  -99.00
  40566.2085,  -99.00
  40566.2500,  -99.00
  40566.2919,  -99.00
  40566.3334,  -99.00
  40566.3750,  -99.00
  40566.4171,  -99.00
  40566.4585,  -99.00
  40566.5000,  -99.00
  40566.5423,  -99.00
  40566.5834,  -99.00
  40566.6250,  -99.00
  40566.6669,  -99.00
  40566.7084,  -99.00
  40566.7500,  -99.00
  40566.7922,  -99.00
  40566.8334,  -99.00
  40566.8750,  -99.00
  40566.9169,  -99.00
  40566.9584,  -99.00
  40567.0000,  -99.00
  40567.0423,  -99.00
  40567.0834,  -99.00
