$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44197,-3.82,-5.52,0.86,0.66,9.17,617.22
44197.04,-3.66,-5.51,0.67,0.64,9.15,616.92
44197.08,-3.79,-5.64,0.59,0.68,8.73,616.88
44197.12,-3.6,-5.58,0.46,0.42,8.24,616.54
44197.17,-4.19,-5.76,0.31,0.14,8.25,616.13
44197.21,-3.94,-5.66,0.35,0.06,7.17,615.82
44197.25,-3.63,-5.75,0.36,0.08,7.34,615.7
44197.29,-3.48,-5.73,0.31,2.79,6.93,615.71
44197.33,-3.26,-5.37,0.54,2.37,5.65,615.78
44197.38,-3.02,-5.75,0.61,1.93,4.58,616.12
44197.42,0.24,-4.47,0.79,1.65,4.1,616.09
44197.46,0.71,-4.47,0.9,1.6,2.97,615.85
44197.5,1.09,-4.11,0.85,2.03,2.51,615.4
44197.54,3.62,-3.48,0.97,2.71,1.43,614.42
44197.58,3.96,-3.56,1.21,2.96,1.11,613.63
44197.62,3.8,-3.29,1.46,3.01,3.82,612.82
44197.67,4.25,-2.83,1.7,3.01,2.15,612.36
44197.71,3.9,-2.76,1.68,0.07,1.74,612.26
44197.75,0.46,-1.51,1.66,0.29,1.18,612.3
44197.79,1.35,-2.65,1.82,0.56,1.28,612.92
44197.83,0.79,-2.7,1.77,0.55,1.99,613.68
44197.88,0.26,-2.39,1.49,0.51,3.48,613.92
44197.92,0.06,-2.21,1.41,0.52,5.19,614.34
44197.96,-1.73,-2.57,1.19,0.39,8.4,614.46
44198,-1.94,-2.51,0.86,0.15,10,614.37
44198.04,-1.7,-2.87,0.86,3,9.52,614.11
44198.08,-1.69,-3.26,0.88,2.93,8.24,613.77
44198.12,-1.59,-2.98,0.66,2.96,8.32,613.4
44198.17,-2.14,-3.2,0.91,2.95,7.92,613.07
44198.21,-2.42,-3.64,0.91,2.94,8.72,612.67
