$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44446,11.22
44446.04,32.48
44446.08,37.57
44446.12,5.72
44446.16,27.85
44446.2,24.02
44446.25,15.16
44446.29,11.86
44446.33,6.93
44446.37,10.91
44446.41,0
44446.45,0
44446.5,11.89
44446.54,58.3
44446.58,2.72
44446.62,17.84
44446.66,29.34
44446.7,0
44446.75,9.38
44446.79,69.83
44446.83,7.26
44446.87,25.45
44446.91,30.23
44446.95,32.1
44447,1.33
44447.04,29.74
44447.08,25.6
44447.12,21.48
44447.16,23.62
44447.2,25.2
44447.25,8.91
44447.29,31.97
44447.33,25.39
44447.37,17.39
44447.41,42.92
44447.45,20.46
44447.5,0
44447.54,0
44447.58,38.69
44447.62,6.24
44447.66,13.82
44447.7,15.98
44447.75,0
44447.79,0
44447.83,46.98
44447.87,49.18
44447.91,25.28
44447.95,27.6
44448,6.65
44448.04,47.39
44448.08,25.25
44448.12,28.89
44448.16,33.33
44448.2,31.96
44448.25,19.26
44448.29,41.78
44448.33,0.89
44448.37,0.95
44448.41,34.44
44448.45,0
44448.5,11.65
44448.54,14.95
44448.58,32.61
44448.62,10.62
44448.66,12.38
44448.7,24.85
44448.75,16.18
44448.79,15.45
44448.83,9.75
44448.87,21.4
44448.91,23.52
44448.95,15.8
44449,6.17
44449.04,21.02
44449.08,19.35
44449.12,9.53
44449.16,20.27
44449.2,15.28
44449.25,12.34
44449.29,14.82
44449.33,17.11
44449.37,31.89
44449.41,43.06
44449.45,0
44449.5,0
44449.54,-4.04
44449.58,0
44449.62,0
44449.66,0
44449.7,2.1
44449.75,6.44
44449.79,6.22
44449.83,7.46
44449.87,5.1
44449.91,4.77
44449.95,7.05
44450,0.35
44450.04,5.52
44450.08,5.33
44450.12,6.74
44450.16,6.31
44450.2,6.12
44450.25,5.6
44450.29,6.21
44450.33,6.77
44450.37,0
44450.41,0
44450.45,0
44450.5,-9.05
44450.54,-7.52
44450.58,-9.85
44450.62,0
44450.66,0
44450.7,0
44450.75,-0.73
44450.79,0
44450.83,0
44450.87,-1.66
44450.91,0
44450.95,2.45
44451,0
44451.04,6.36
44451.08,1.35
44451.12,0
44451.16,0
44451.2,0
44451.25,3.85
44451.29,0
44451.33,0
44451.37,0
44451.41,29.48
44451.45,3.08
44451.5,10.92
44451.54,8.94
44451.58,0
44451.62,0
44451.66,5.1
44451.7,6.68
44451.75,6.27
44451.79,5.49
44451.83,5.99
44451.87,5.53
44451.91,7.33
44451.95,6.36
44452,11.67
44452.04,0
44452.08,4.93
44452.12,6.33
44452.16,4.93
44452.2,5.81
44452.25,0
44452.29,10.54
44452.33,6.04
44452.37,13.33
44452.41,14.06
44452.45,0
44452.5,14.91
44452.54,6.18
44452.58,7.42
44452.62,6.29
44452.66,6.77
44452.7,6.22
44452.75,5.57
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,21.86
44453.04,2.52
44453.08,0
44453.12,33.83
44453.16,4.25
44453.2,33.28
44453.25,0
44453.29,0
44453.33,0
44453.37,32.95
44453.41,68.9
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-15.79
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-6.87
44454.33,0
44454.37,0
44454.41,-5.67
44454.45,-13.4
44454.5,0
44454.54,-11.11
44454.58,-6.26
44454.62,0
44454.66,-36.27
44454.7,0
44454.75,-12.67
44454.79,-21.47
44454.83,0
44454.87,4.09
44454.91,0
44454.95,0
44455,-7.37
44455.04,-8.21
44455.08,-2.7
44455.12,-1.7
44455.16,-2.6
44455.2,0
44455.25,0
44455.29,-0.86
44455.33,-32.63
44455.37,-15.32
44455.41,-6.39
44455.45,-27.89
44455.5,0
44455.54,0
44455.58,0
44455.62,10.94
44455.66,7.44
44455.7,0
44455.75,2.74
44455.79,17.61
44455.83,4.29
44455.87,0
44455.91,0.24
44455.95,14.84
44456,4.14
44456.04,1.07
44456.08,7.1
44456.12,5.22
44456.16,5.69
44456.2,2.61
44456.25,3.37
44456.29,7.11
44456.33,5.28
44456.37,10.56
44456.41,5.01
44456.45,1.23
44456.5,6.34
44456.54,7.78
44456.58,0
44456.62,0
44456.66,8.52
44456.7,4.92
44456.75,2.32
44456.79,5.74
44456.83,0
44456.87,1.03
44456.91,4.88
44456.95,5.11
44457,3.05
44457.04,3.7
44457.08,12.71
44457.12,4.14
44457.16,4.5
44457.2,3.59
44457.25,3.57
44457.29,5.09
44457.33,4.5
44457.37,0
44457.41,5.11
44457.45,0
44457.5,-19.63
44457.54,0
44457.58,0.86
44457.62,11.43
44457.66,2.72
44457.7,0.32
44457.75,1.3
44457.79,14.57
44457.83,0
44457.87,6.31
44457.91,1.57
44457.95,0.14
44458,12.28
44458.04,0
44458.08,0.22
44458.12,6.48
44458.16,21.13
44458.2,9.66
44458.25,6.86
44458.29,23.44
44458.33,27.49
44458.37,10.86
44458.41,16.97
44458.45,23.21
44458.5,28.28
44458.54,21.35
44458.58,27.38
44458.62,21.14
44458.66,23.6
44458.7,27.11
44458.75,12.65
44458.79,22.14
44458.83,20.01
44458.87,15.46
44458.91,10.8
44458.95,19.77
44459,9.01
44459.04,18.04
44459.08,11.11
44459.12,3.61
44459.16,12.31
44459.2,18.59
44459.25,7.22
44459.29,13.57
44459.33,12.12
44459.37,3.11
44459.41,6.2
44459.45,15.9
44459.5,0
44459.54,4.84
44459.58,7.7
44459.62,6.51
44459.66,0
44459.7,-12.84
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,7.1
44460.04,0
44460.08,6.88
44460.12,14.44
44460.16,33.17
44460.2,0
44460.25,0
44460.29,15.11
44460.33,0
44460.37,10.85
44460.41,6.52
44460.45,3.68
44460.5,0
44460.54,9.91
44460.58,4.3
44460.62,12.08
44460.66,7.88
44460.7,0
44460.75,5.88
44460.79,9.88
44460.83,6.02
44460.87,0.11
44460.91,7.69
44460.95,6.2
44461,4.3
44461.04,0.42
44461.08,8.23
