$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44446,31.78
44446.04,91.96
44446.08,106.37
44446.12,16.2
44446.16,78.84
44446.2,68.01
44446.25,42.92
44446.29,33.58
44446.33,19.61
44446.37,30.88
44446.41,0
44446.45,0
44446.5,33.66
44446.54,165.07
44446.58,7.7
44446.62,50.52
44446.66,83.07
44446.7,0
44446.75,26.56
44446.79,197.7
44446.83,20.57
44446.87,72.07
44446.91,85.6
44446.95,90.89
44447,3.77
44447.04,84.21
44447.08,72.49
44447.12,60.81
44447.16,66.86
44447.2,71.35
44447.25,25.22
44447.29,90.52
44447.33,71.87
44447.37,49.23
44447.41,121.51
44447.45,57.92
44447.5,0
44447.54,0
44447.58,109.55
44447.62,17.68
44447.66,39.13
44447.7,45.25
44447.75,0
44447.79,0
44447.83,133
44447.87,139.24
44447.91,71.58
44447.95,78.14
44448,18.84
44448.04,134.19
44448.08,71.48
44448.12,81.8
44448.16,94.36
44448.2,90.48
44448.25,54.52
44448.29,118.3
44448.33,2.53
44448.37,2.7
44448.41,97.51
44448.45,0
44448.5,32.99
44448.54,42.33
44448.58,92.33
44448.62,30.07
44448.66,35.06
44448.7,70.36
44448.75,45.8
44448.79,43.75
44448.83,27.6
44448.87,60.6
44448.91,66.58
44448.95,44.72
44449,17.46
44449.04,59.51
44449.08,54.78
44449.12,26.97
44449.16,57.38
44449.2,43.26
44449.25,34.94
44449.29,41.96
44449.33,48.43
44449.37,90.29
44449.41,121.92
44449.45,0
44449.5,0
44449.54,-11.44
44449.58,0
44449.62,0
44449.66,0
44449.7,5.96
44449.75,18.22
44449.79,17.6
44449.83,21.12
44449.87,14.44
44449.91,13.52
44449.95,19.96
44450,1
44450.04,15.62
44450.08,15.1
44450.12,19.08
44450.16,17.86
44450.2,17.33
44450.25,15.84
44450.29,17.59
44450.33,19.17
44450.37,0
44450.41,0
44450.45,0
44450.5,-25.63
44450.54,-21.29
44450.58,-27.89
44450.62,0
44450.66,0
44450.7,0
44450.75,-2.06
44450.79,0
44450.83,0
44450.87,-4.7
44450.91,0
44450.95,6.93
44451,0
44451.04,18.01
44451.08,3.81
44451.12,0
44451.16,0
44451.2,0
44451.25,10.89
44451.29,0
44451.33,0
44451.37,0
44451.41,83.47
44451.45,8.72
44451.5,30.91
44451.54,25.32
44451.58,0
44451.62,0
44451.66,14.44
44451.7,18.91
44451.75,17.77
44451.79,15.54
44451.83,16.96
44451.87,15.66
44451.91,20.74
44451.95,18.01
44452,33.03
44452.04,0
44452.08,13.95
44452.12,17.92
44452.16,13.95
44452.2,16.44
44452.25,0
44452.29,29.83
44452.33,17.09
44452.37,37.74
44452.41,39.81
44452.45,0
44452.5,42.2
44452.54,17.49
44452.58,21
44452.62,17.8
44452.66,19.17
44452.7,17.62
44452.75,15.76
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,61.88
44453.04,7.12
44453.08,0
44453.12,95.79
44453.16,12.03
44453.2,94.23
44453.25,0
44453.29,0
44453.33,0
44453.37,93.3
44453.41,195.09
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-44.71
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
