$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44201.29,-3.76,-5.03,1.43,0.61,9.61,596.91
44201.33,-3.48,-4.82,1.56,0.76,9.82,597.62
44201.38,-3.4,-4.9,1.73,0.76,9.16,598.28
44201.42,-1.21,-4.01,1.75,0.71,9.69,598.53
44201.46,-0.97,-3.92,1.74,0.65,9.86,598.67
44201.5,-1.12,-3.81,1.66,0.57,9.9,598.11
44201.54,1.03,-3.22,1.61,0.44,9.85,597.49
44201.58,1.1,-3.11,1.75,0.31,9.41,596.63
44201.62,1.52,-2.33,1.74,0.17,9.7,595.97
44201.67,1.46,-1.92,1.6,0.11,9.51,595.74
44201.71,1.35,-1.79,1.8,0.32,9.75,595.84
44201.75,-0.92,-3.26,2.12,0.46,6.07,596.23
44201.79,-1.3,-2.64,2.02,0.71,4.53,596.44
44201.83,-2.15,-3.07,1.65,0.67,6.99,597.18
44201.88,-2.16,-3.15,2,0.69,8.69,597.24
44201.92,-2.49,-3.31,2.21,0.71,9.47,597.47
44201.96,-3.16,-3.79,2.18,0.82,9.81,597.7
44202,-3.37,-4.22,2.09,0.78,9.86,597.69
44202.04,-3.53,-4.38,1.79,0.71,9.82,597.5
44202.08,-3.42,-4.91,1.6,0.68,9.8,597.01
44202.12,-3.21,-4.75,1.44,0.67,9.81,596.63
44202.17,-3.24,-4.57,1.22,0.63,9.92,596.11
44202.21,-2.99,-4.49,1.04,0.37,9.92,595.68
44202.25,-2.77,-4.2,0.84,0.02,9.48,595.24
44202.29,-2.46,-4.11,1.07,0.44,9.23,595.28
44202.33,-2.42,-3.88,1.14,0.5,9.52,595.49
44202.38,-2.78,-3.96,1.28,0.48,9.74,595.72
44202.42,-0.73,-3.43,1.47,0.56,9.92,595.7
44202.46,-0.3,-3.14,1.44,0.42,9.55,595.74
44202.5,0.08,-3.09,1.26,0.21,10,594.88
44202.54,1.71,-2.28,1.31,0.18,9.9,594.18
44202.58,1.18,-2.34,1.52,0.17,10,593.14
44202.62,0.73,-2.36,1.69,0.3,10,592.72
44202.67,0.68,-1.84,1.98,0.41,10,592.6
44202.71,0.24,-1.85,2.25,0.48,10,592.76
44202.75,-0.71,-2.05,2.61,0.68,8.83,593.15
44202.79,-1.44,-2.17,2.42,0.71,9.62,593.74
44202.83,-1.21,-1.85,2.16,0.66,9.62,594.59
44202.88,-2.43,-3.01,1.94,0.77,8.79,594.85
44202.92,-2.65,-3.3,2.12,0.77,9.23,595.73
44202.96,-3.16,-3.94,2.26,0.78,9.52,596.01
44203,-3.42,-4.53,2.08,0.76,9.44,596.48
44203.04,-3.22,-4.52,1.93,0.82,9.36,596.52
44203.08,-2.62,-3.99,1.85,0.82,9.66,596.4
44203.12,-3.2,-4.27,1.63,0.86,9.8,596.17
44203.17,-2.78,-4.2,1.56,0.84,9.9,596.16
44203.21,-2.63,-4.28,1.46,0.82,9.88,595.94
44203.25,-2.97,-5,1.41,0.69,10,595.96
44203.29,-2.59,-4.66,1.53,0.64,9.98,595.65
44203.33,-2.51,-4.81,1.56,0.64,9.96,596.23
44203.38,-2.05,-3.94,1.54,0.48,9.78,596.57
44203.42,-1.74,-4.48,1.65,0.47,9.8,596.89
44203.46,-1.06,-3.89,1.68,0.46,9.8,597.11
44203.5,-1.1,-4.04,1.67,0.41,10,596.52
44203.54,-0.5,-3.79,1.79,0.34,10,595.44
44203.58,-0.51,-3.68,1.95,0.38,9.77,594.57
44203.62,-0.89,-3.51,2.11,0.47,9.9,594.1
44203.67,-1.64,-3.47,2.29,0.46,9.93,594.22
44203.71,-1.98,-3.43,2.24,0.53,9.87,594.53
44203.75,-3.34,-4.26,2.2,0.58,9.98,595.43
44203.79,-3.44,-4.2,2.56,0.69,9.98,595.75
44203.83,-3.48,-4.21,2.28,0.79,9.95,596.59
44203.88,-3.6,-4.38,2.15,0.9,10,597.66
44203.92,-3.99,-4.91,1.96,0.89,9.92,598.2
44203.96,-5.41,-6.53,1.95,0.85,10,598.58
44204,-5.38,-6.6,1.89,0.83,9.9,598.75
44204.04,-5.43,-6.93,1.86,0.75,9.69,598.99
44204.08,-5.19,-7.07,1.89,0.73,9.73,599.1
44204.12,-5.14,-7.27,1.85,0.72,9.65,598.66
44204.17,-5.68,-7.59,1.69,0.68,9.35,598.54
44204.21,-6.2,-8.37,1.47,0.61,9.56,598.27
44204.25,-6.05,-8.17,1.26,0.27,9.81,598.04
44204.29,-5.94,-8.5,1.25,0.42,9.78,598.33
44204.33,-5.9,-8.58,1.22,0.36,9.62,598.53
44204.38,-5.69,-8.49,1.22,0.34,9.31,598.88
44204.42,-3.98,-7.17,1.3,0.37,9.3,599.09
44204.46,-4.09,-7.06,1.41,0.34,9.35,599.37
44204.5,-3.84,-6.75,1.49,0.31,9.87,599.05
44204.54,-3.32,-7.07,1.53,0.32,9.89,598.1
44204.58,-2.55,-6.35,1.56,0.27,9.9,597.15
44204.62,-2.32,-6.4,1.63,0.23,9.99,596.26
44204.67,-2.51,-6.24,1.72,0.27,9.86,596.07
44204.71,-3,-6.28,1.76,0.27,9.4,595.92
44204.75,-4.61,-6.38,1.38,3.03,9.27,595.94
44204.79,-4.59,-6.37,1.69,0.32,9.23,595.88
44204.83,-4.8,-6.21,1.89,0.53,8.58,596.42
44204.88,-5.05,-6.13,1.82,0.63,9.07,596.57
44204.92,-5.13,-5.95,1.86,0.69,9.09,597.14
44204.96,-5.92,-6.24,1.9,0.64,8.82,597.38
44205,-6,-6.48,1.74,0.53,8.8,597.28
44205.04,-5.87,-6.88,1.73,0.55,9.61,597.3
44205.08,-5.75,-7.03,1.64,0.54,9.33,597.24
44205.12,-5.59,-7.11,1.51,0.39,9.34,596.92
44205.17,-5.67,-7.37,1.49,0.44,9.2,596.67
44205.21,-5.63,-7.27,1.38,0.38,9.58,596.23
44205.25,-5.72,-7.34,1.11,0.06,9.32,595.61
44205.29,-6.06,-7.66,1.46,0.35,9.76,596.11
44205.33,-5.73,-7.7,1.36,0.45,9.43,596.2
44205.38,-5.47,-7.32,1.32,0.59,9.73,596.66
44205.42,-4.09,-6.75,1.27,0.42,9.21,596.86
44205.46,-4.04,-6.76,1.1,3.1,9.73,596.88
44205.5,-3.79,-6.54,0.94,2.89,9.8,596.56
44205.54,-1.79,-5.84,0.99,3.04,9.37,595.45
44205.58,-2.19,-5.89,0.99,3.03,8.42,594.61
44205.62,-1.79,-5.47,1.18,0.03,9.39,593.84
44205.67,-1.29,-4.91,1.48,0.1,8.15,593.59
44205.71,-0.9,-4.43,1.35,0.17,8.3,593.81
44205.75,-3.18,-5.74,2.02,0.55,4.28,593.54
44205.79,-4.64,-6.31,2.48,0.64,3.66,594.45
44205.83,-5.13,-6.54,2.27,0.66,8.22,595.27
44205.88,-5.42,-6.56,2.06,0.73,8.89,596.22
44205.92,-5.41,-6.55,1.92,0.74,9.65,596.86
44205.96,-6.36,-7.64,1.99,0.68,9.67,597.3
44206,-6.34,-7.95,1.9,0.67,9.63,597.1
44206.04,-6.39,-8.24,1.85,0.73,9.48,597.26
44206.08,-6.31,-8.35,1.7,0.72,9.91,596.97
44206.12,-6.1,-8.31,1.58,0.71,9.48,596.7
44206.17,-6.65,-9.14,1.56,0.67,9.54,596.46
44206.21,-6.47,-9.19,1.42,0.53,9.47,596
44206.25,-6.58,-9.12,1.02,3.12,9.8,595.39
44206.29,-6.41,-8.94,1.22,0.27,9.59,595.34
44206.33,-6.23,-8.85,1.35,0.34,9.66,595.61
44206.38,-5.75,-8.34,1.36,0.41,9.49,596.05
44206.42,-4.6,-8.14,1.44,0.5,9.78,596.45
44206.46,-4.86,-8.13,1.53,0.5,9.75,596.94
44206.5,-4.89,-8.07,1.55,0.48,9.82,596.59
44206.54,-3.52,-7.69,1.75,0.56,9.85,595.77
44206.58,-4.09,-7.92,1.98,0.61,9.76,595.35
44206.62,-4.44,-7.87,2.16,0.64,9.52,594.74
44206.67,-4.71,-7.55,2.29,0.69,9.64,594.97
44206.71,-4.78,-7.47,2.47,0.7,9.68,595.27
44206.75,-6.44,-8.47,2.13,0.76,9.79,595.89
44206.79,-6.22,-8.37,2.36,0.79,9.66,596.6
44206.83,-6.06,-8.19,2.29,0.86,9.65,597.3
44206.88,-5.83,-7.93,2.48,0.89,9.5,598.35
44206.92,-5.81,-7.81,2.42,0.86,9.4,599.15
44206.96,-6.7,-8.91,2.31,0.94,9.27,599.84
44207,-6.49,-8.94,2.35,0.95,9.13,600.58
44207.04,-6.35,-9.12,2.38,0.98,9.76,600.88
44207.08,-6.02,-9.11,2.39,0.96,9.44,601.12
44207.12,-5.67,-8.84,2.28,0.96,9.39,601.27
44207.17,-6.12,-9.29,2.16,0.97,9.81,601.29
44207.21,-6.04,-9.03,2.08,0.97,9.65,601.28
44207.25,-6.22,-8.96,1.77,1.03,9.51,601.65
44207.29,-5.92,-8.61,1.87,0.82,9.43,601.48
44207.33,-5.78,-8.42,1.53,0.84,9.16,602.23
44207.38,-6.1,-8.46,1.3,0.76,8.43,602.87
44207.42,-5.04,-8.46,1.44,0.78,9,602.91
44207.46,-5.18,-8.45,1.53,0.79,8.65,603.25
44207.5,-5.02,-8.58,1.6,0.7,9.06,603.11
44207.54,-3.57,-8.53,1.53,0.63,8.65,602.11
44207.58,-3.34,-8.57,1.43,0.53,8.76,601.31
44207.62,-3.47,-8.66,1.47,0.48,8.92,600.42
44207.67,-3.33,-8.45,1.53,0.43,8.99,600.38
44207.71,-3.13,-8.43,1.59,0.38,8.94,600.27
44207.75,-3.93,-8.45,1.18,3.07,8.2,600.18
44207.79,-4.28,-7.92,1.2,3.03,6.18,600.68
44207.83,-4.14,-7.92,0.75,2.99,6.42,600.5
44207.88,-3.89,-8.01,0.68,0.08,6.52,600.93
44207.92,-3.97,-7.48,0.64,2.86,7.36,601.16
44207.96,-4.05,-7.44,0.76,2.28,7.51,601.38
44208,-4.12,-7.24,0.93,1.92,6.06,601.47
44208.04,-4.64,-6.7,1.13,1.66,3.5,601.36
44208.08,-4.6,-7.04,1.32,1.52,2.2,601
44208.12,-4.61,-7.06,1.44,1.48,1.51,600.4
44208.17,-4.84,-7.46,1.55,1.4,1.26,599.96
44208.21,-4.75,-7.47,1.72,1.34,1.49,599.37
44208.25,-5.15,-7.51,2.06,1.09,0.73,599.11
44208.29,-5.25,-7.65,2.17,1.17,2.02,598.85
44208.33,-5.04,-7.62,2.08,1.16,1.69,598.9
44208.38,-3.82,-7.54,1.8,1.1,0.66,598.88
44208.42,0.16,-6.15,2,1.05,0.45,598.95
44208.46,0.78,-6.18,2.17,1.01,0.28,598.76
44208.5,1.62,-6.05,2.19,0.99,0.7,598.19
44208.54,5.71,-4.77,2.12,1,1.2,596.88
44208.58,5.9,-4.66,2.04,1.05,2.15,595.75
44208.62,5.82,-4.61,2.02,1.14,2.11,594.79
44208.67,7.32,-3.9,2.08,1.21,0.88,594.13
44208.71,7.3,-4.23,1.85,1.24,0.47,593.83
44208.75,4,-3.86,1.47,1.04,0.63,593.9
44208.79,5.37,-5.5,0.74,1.47,0.51,593.71
44208.83,4.65,-5.3,0.59,1.59,0.53,593.72
44208.88,4.14,-5.02,0.49,1.4,0.08,594.13
44208.92,3.45,-4.64,0.64,1.54,0,594.39
44208.96,1.63,-3.82,0.67,1.67,0.1,594.56
44209,1.33,-3.77,0.87,1.51,0,594.64
44209.04,0.79,-3.78,1.01,1.46,0.02,594.72
44209.08,0.69,-3.8,1.01,1.34,0.02,594.41
44209.12,0.67,-3.91,0.92,1.42,0.16,594.26
44209.17,-0.25,-3.99,0.91,1.52,0.46,594.21
44209.21,-0.16,-4.04,0.96,1.56,0.33,593.9
44209.25,-0.89,-4.44,1.29,1.28,0,593.3
44209.29,-1,-4.53,1.29,1.31,0,593.6
44209.33,-0.95,-4.41,1.13,1.39,0,594.15
44209.38,-1.6,-4.53,0.78,1.54,0,594.39
44209.42,3.76,-2.7,0.47,1.22,0,594.85
44209.46,4.7,-2.29,0.4,1.92,0,594.86
44209.5,5.1,-2.24,0.56,2.39,0,594.68
44209.54,8.99,-2.55,0.63,2.41,0,593.74
44209.58,9.05,-2.14,0.74,2.76,0,593
44209.62,9.26,-1.92,0.95,2.86,0,592.42
44209.67,11.15,-2.68,0.8,2.62,5.55,592.19
44209.71,10.65,-2.58,1.18,0.15,7.27,592.17
44209.75,4.68,-1.15,1.17,0.29,3.86,592.18
44209.79,2.64,-1.37,1.76,0.49,4.45,592.75
44209.83,2.68,-0.9,1.95,0.58,2.37,593.39
44209.88,2.25,-0.83,1.99,0.49,3.36,593.85
44209.92,2.1,-0.5,1.85,0.36,5.07,594.56
44209.96,-0.04,-0.82,1.58,0.24,5.08,594.7
44210,-0.05,-0.38,1.17,0.17,6.55,595.05
44210.04,-0.68,-0.87,0.91,0.01,8.19,595.16
44210.08,-0.48,-0.8,0.65,2.92,9.45,595.24
44210.12,-0.71,-1.08,0.48,2.51,9.78,595.07
44210.17,-1.73,-1.73,0.43,2.04,9.84,595.12
44210.21,-1.83,-1.89,0.71,1.69,10,594.92
44210.25,-2.75,-2.75,1.12,1.08,10,594.87
44210.29,-2.75,-2.75,1.41,1.15,10,594.97
44210.33,-2.18,-2.4,1.69,1.07,10,594.96
44210.38,-2.81,-2.97,1.85,1.09,9.86,595.23
44210.42,2.25,-0.27,1.66,1.17,8.03,595.47
44210.46,2.6,-0.43,1.61,1.21,1.6,595.68
44210.5,4.8,-0.18,1.66,1.15,0.1,595.26
44210.54,11.12,0.54,1.65,1.14,0,594.47
44210.58,11.84,0.28,1.55,1.15,0,593.43
