year,q_class,stage_class,q_threshold_m3s,downstream_stage_threshold_m,samples,stage_bias_m,stage_mae_m,stage_rmse_m,stage_within_1p0m_percent,required_neff_p10,required_neff_median,required_neff_p90,required_neff_inside_frozen_interval_percent
2020,low_q,low_stage,1502.5,590.3951815047658,47,0.18152232793733114,0.18152232793733114,0.18457142645781946,100.0,0.04038812706321627,0.047192316970790904,0.0513507965329312,0.0
2020,low_q,high_stage,1502.5,590.3951815047658,36,-0.16213405164285177,0.4871373124161601,0.7754434817933314,83.33333333333334,0.046721941653256285,0.05151697465800924,0.2085161018170553,0.0
2020,high_q,low_stage,1502.5,590.3951815047658,36,0.29692583729791344,0.29692583729791344,0.3010363626228359,100.0,0.04929149577308245,0.05346640089311114,0.055687493717141184,0.0
2020,high_q,high_stage,1502.5,590.3951815047658,47,-0.052056079332325506,0.482069137702379,0.6906784024509274,82.97872340425532,0.04445794112384436,0.050535790134411326,0.18625632783846527,0.0
2021,low_q,low_stage,2875.0,584.2257168931252,2206,0.9316239727187603,2.685004863281528,2.8977063475012557,3.9891205802357206,0.015767423235534254,0.028904026513973707,0.04973093691508518,0.04533091568449683
2021,low_q,high_stage,2875.0,584.2257168931252,1770,0.5561982421632699,0.5593901378128009,0.664673239480579,90.22598870056497,0.029793703758167606,0.038411823173681164,0.0532491801943953,0.22598870056497175
2021,high_q,low_stage,2875.0,584.2257168931252,1769,-0.8016633178954512,1.1488264716140262,1.8063927312549706,62.57772752967779,0.055000338578415436,0.07255578697485005,0.0762085090382123,46.693046919163365
2021,high_q,high_stage,2875.0,584.2257168931252,2204,0.3564634833070101,0.5566477678800291,0.6963957227397408,84.93647912885662,0.05078272296838858,0.06440122600929583,0.07338142359030168,8.257713248638838
2022,low_q,low_stage,3210.0,580.0771506793754,1069,2.8612135519828152,2.925874852882099,3.0478047241110553,0.841908325537886,0.018294231340076333,0.03126584466695738,0.04008772869861458,0.0
2022,low_q,high_stage,3210.0,580.0771506793754,2840,0.9671363219804507,0.9750384614838784,1.3024335712927164,62.323943661971825,0.03148925189841864,0.04286991842563441,0.051704250924355086,0.28169014084507044
2022,high_q,low_stage,3210.0,580.0771506793754,2838,0.10294667041111893,0.9590643819359418,1.865013249982318,75.86328400281889,0.0554365747364134,0.07040979137504502,0.07556581453644139,41.367159971811134
2022,high_q,high_stage,3210.0,580.0771506793754,1066,0.44771686461543514,0.7424036904577948,1.081898229831878,75.79737335834896,0.049793338025619485,0.06648120705554807,0.07749101173356045,18.19887429643527
2023,low_q,low_stage,2985.0,567.744128979923,2693,-0.4497699741356198,2.0376927762848394,2.161313518293176,5.310063126624582,0.03763665004759104,0.047699249810116334,0.054527001832089,0.14853323431117713
2023,low_q,high_stage,2985.0,567.744128979923,1536,0.8823368058588151,0.932294574567535,1.2952390769308137,72.78645833333334,0.03646022899145675,0.050704291683805094,0.059795818471929746,0.390625
2023,high_q,low_stage,2985.0,567.744128979923,1532,-0.062336897203606315,0.8782888841951597,1.3765299240874205,72.911227154047,0.05397923169705387,0.06463954206269654,0.07313087667114239,15.992167101827675
2023,high_q,high_stage,2985.0,567.744128979923,2688,0.5121031206087694,0.6180132578591088,0.790204319231896,82.77529761904762,0.046798885579983185,0.06497718801563737,0.0735177805006834,11.160714285714286
2024,low_q,low_stage,2990.0,584.3021506793754,2480,2.066067969056341,2.066067969056341,2.123635951399793,0.564516129032258,0.03229964603171354,0.03912383481334389,0.048508686875882195,0.0
2024,low_q,high_stage,2990.0,584.3021506793754,1858,0.5004302560710485,0.5024771683132191,0.6540723086383501,80.89343379978472,0.04290229416524312,0.052241810880721246,0.06783510836297954,3.7136706135629707
2024,high_q,low_stage,2990.0,584.3021506793754,1855,0.22641486147117582,0.6373682239149576,0.8225391131685641,80.53908355795149,0.05486002663507392,0.07112645379079756,0.07665616468322378,34.01617250673855
2024,high_q,high_stage,2990.0,584.3021506793754,2477,0.4390051231053263,0.4920275842059265,0.6162032498144259,91.03754541784417,0.05557790711609768,0.06382295495586156,0.07229578413592731,17.601937828017764
2025,low_q,low_stage,3020.0,584.298230582032,1714,1.7931940227718863,1.7931940227718863,1.845554673745322,0.9918319719953326,0.03436574642699178,0.045001896864689736,0.05317761679247977,0.0
2025,low_q,high_stage,3020.0,584.298230582032,2476,0.48521420342330246,0.48522097052963686,0.5867092607897574,89.09531502423263,0.03895660135919071,0.049444604425268934,0.057235122200896806,0.04038772213247173
2025,high_q,low_stage,3020.0,584.298230582032,2426,0.36582699630932636,0.5862252120870102,0.7375685575753046,82.15169002473208,0.05623973184595954,0.06701189027529789,0.07520918000495683,27.205276174773292
2025,high_q,high_stage,3020.0,584.298230582032,1664,0.4774624953184153,0.48090994832593414,0.5417072112248004,95.91346153846155,0.057324894893738626,0.06115526336945658,0.06822937312729166,5.288461538461538
