year,samples,neff_p10,neff_median,neff_p90,inside_frozen_0p070_0p075_percent
2020,166,0.04436687754028441,0.050622613734308125,0.059383919706140355,0.0
2021,6508,0.022682510925872135,0.05234631739553976,0.07476117887474369,11.278426551936079
2022,7051,0.027343150913834033,0.04876185970360127,0.07402521893885622,14.536945114168203
2023,6623,0.039602891576980395,0.05773897262178495,0.0713242219705322,8.017514721425336
2024,8640,0.03601247766233154,0.0564438796050267,0.0732936792411027,12.962962962962962
2025,8264,0.039893013078031815,0.05651997967995433,0.07202172656575485,8.94240077444337
