period,start,end,neff,samples,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_1p0m_percent,flow_bias_m3s,flow_rmse_m3s,flow_median_ratio
v38_selection,2021-08-22 00:00:00,2021-08-28 12:00:00,0.07,157,0.16239908660511707,0.5149547608981797,0.6675604474017751,0.964288255300093,94.26751592356688,-124.18405269940257,537.8073942286054,0.9343663522286535
v38_selection,2021-08-22 00:00:00,2021-08-28 12:00:00,0.0725,157,0.4046727832292192,0.5979384984091183,0.747175202594016,0.9642429218295323,95.54140127388536,-296.54246249057394,565.9336437396341,0.8998983061138771
v38_selection,2021-08-22 00:00:00,2021-08-28 12:00:00,0.075,157,0.6320436285287878,0.7242145268466751,0.869433779502924,0.9663231523165067,75.79617834394905,-456.5267434480741,637.2308895321997,0.8679557129218932
v40_strict_holdout,2021-08-28 13:00:00,2021-10-15 00:00:00,0.07,1126,-0.019628340038405606,0.3977997856930759,0.6128387878331653,0.9883581008619344,88.72113676731794,324.2675400311205,1846.9843269310875,0.9600700548759131
v40_strict_holdout,2021-08-28 13:00:00,2021-10-15 00:00:00,0.0725,1126,0.13432244592927706,0.47576307747324287,0.6372068174744536,0.9887296694092588,87.65541740674956,74.26658472139455,1686.544158131735,0.926049444764808
v40_strict_holdout,2021-08-28 13:00:00,2021-10-15 00:00:00,0.075,1126,0.29517916384574144,0.58141458043237,0.6882847524809067,0.9895202830357673,85.96802841918296,-158.25597928053557,1570.1551381484248,0.8943380559346843
v39_full_window,2021-08-22 00:00:00,2021-10-15 00:00:00,0.07,1283,0.00264625542771525,0.41213597517647516,0.6197945345274615,0.9925367165160677,89.39984411535464,269.39076679753356,1740.4883520104859,0.9588132437917061
v39_full_window,2021-08-22 00:00:00,2021-10-15 00:00:00,0.0725,1283,0.16740506709536507,0.4907136161224498,0.6516608314680641,0.9927778510406818,88.62042088854248,28.89088681626669,1592.3417726584883,0.9248833061034368
v39_full_window,2021-08-22 00:00:00,2021-10-15 00:00:00,0.075,1283,0.33640108197141433,0.5988889308509562,0.7129277751716182,0.9932701942273285,84.72330475448169,-194.75520763151263,1487.7462235025403,0.8930430407142163
