group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
stable,2020,6,138,-8.32230134784037,-26.621654296834436,9.832389392050185,-304.5401917226484,619.9710780354276,814.502540497747,0.670327541736965,1.4492753623188406
stable,2021,6,3576,-0.3913843493341227,-21.436954214469424,22.596485614473067,-692.4656907461069,886.0967276870988,1098.542388198546,0.5695161204959173,26.56599552572707
stable,2022,6,3108,-0.8908299204467416,-24.429446638360613,24.055930958423705,-748.1481303548877,777.7898094517786,967.3867884372387,0.6565856327230104,35.006435006435005
stable,2023,6,2228,0.0,-16.52896564032848,15.256862640525283,-686.9537106813748,705.4899551239555,750.6566536203906,0.7186630193320196,33.61759425493716
stable,2024,6,1630,2.9084312619330985,-24.538411999146142,26.669882549099693,-766.478402518681,774.5615475329199,854.1412633918927,0.70647953477645,25.950920245398773
stable,2025,6,2658,-1.4026601156288827,-28.34971483591689,26.943223939516066,-823.9256902336115,826.8711313602142,877.9768780835736,0.6801505518019862,30.248306997742663
stage_moving_or_mixed,2020,6,25,-42.34062112485369,-61.740158503315236,216.78231008080024,385.11171820818726,1103.244439024996,1489.6425866699635,0.6936162242075256,0.0
stage_moving_or_mixed,2021,6,3094,14.634815447811658,-91.1253604850631,101.9745208485405,-588.5560720365568,803.0896997204516,1039.5359767727873,0.7239794420349048,40.04524886877828
stage_moving_or_mixed,2022,6,2734,-12.778191710609804,-91.36865835074356,91.96369024462429,-686.0165973192782,796.923509552966,1020.7527467291902,0.6758512618302046,42.68471104608632
stage_moving_or_mixed,2023,6,3121,24.036734385806376,-139.65623046942676,147.1912609562809,-655.0340764143242,696.9754312264791,773.7722816546392,0.7303465031687478,36.14226209548222
stage_moving_or_mixed,2024,6,3368,19.957488210237138,-94.06891186272028,107.99199644705216,-809.4874527315989,868.9058165538571,956.146881009608,0.6251011850030108,33.1353919239905
