JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40561.085,    95.301,    23.695,     4.352,     0.313,  5038.140,     0.000,     0.000,    19.689,  2898.534,     1.000,     4.352,   -67.511,     0.000,   246.018,   326.754,    13.659,   -26.885,     0.000,
 40561.127,    87.430,    23.696,     4.338,     0.325,  5124.289,     0.000,     0.000,    19.690,  2898.534,     1.000,     4.338,   -64.441,     0.000,   245.747,   326.688,    14.204,   -30.705,     0.000,
 40561.169,    96.544,    23.691,     4.322,     0.354,  5442.974,     0.000,     0.000,    19.685,  2898.534,     1.000,     4.322,   -71.998,     0.000,   246.775,   326.613,     5.427,   -13.268,     0.000,
 40561.210,   104.263,    23.691,     4.304,     0.351,  5331.649,     0.000,     0.000,    19.685,  2898.534,     1.000,     4.304,   -62.559,     0.000,   247.500,   326.527,    11.227,   -27.695,     0.000,
 40561.252,    91.550,    23.688,     4.286,     0.315,  5290.502,     0.000,     0.000,    19.682,  2898.534,     1.000,     4.286,   -56.780,     0.000,   255.429,   326.441,     7.475,   -21.707,     0.000,
 40561.294,    92.534,    23.685,     4.270,     0.343,  5424.136,     0.000,     0.000,    19.679,  2898.534,     1.000,     4.270,   -24.470,     0.000,   287.490,   326.365,     2.087,   -16.492,     0.000,
 40561.335,    89.770,    23.681,     4.257,     0.329,  5438.537,     0.000,     0.000,    19.675,  2898.534,     1.000,     4.257,   -29.189,     0.000,   287.576,   326.304,     0.929,   -10.468,     0.000,
 40561.377,    90.564,    23.674,     4.246,     0.353,  5323.983,     0.000,     0.000,    19.668,  2898.534,     1.000,     4.246,   -10.875,     0.000,   289.128,   326.252,     9.983,   -36.231,     0.000,
 40561.419,    87.946,    23.667,     4.236,     0.348,  5433.724,     0.000,     0.000,    19.661,  2898.534,     1.000,     4.236,   -30.728,     0.000,   285.454,   326.204,     2.821,   -12.843,     0.000,
 40561.460,    97.911,    23.669,     4.223,     0.364,  5649.739,     0.000,     0.000,    19.663,  2898.534,     1.000,     4.223,   -38.867,     0.000,   268.541,   326.145,    -2.867,   -15.870,     0.000,
 40561.502,    88.618,    23.669,     4.208,     0.360,  5662.441,     0.000,     0.000,    19.663,  2898.534,     1.000,     4.208,   -37.465,     0.000,   270.034,   326.075,    -2.237,   -16.339,     0.000,
 40561.544,    89.025,    23.666,     4.191,     0.371,  5707.116,     0.000,     0.000,    19.660,  2898.534,     1.000,     4.191,   -38.710,     0.000,   270.435,   325.994,    -1.429,   -15.420,     0.000,
 40561.585,    83.563,    23.667,     4.172,     0.375,  5744.219,     0.000,     0.000,    19.661,  2898.534,     1.000,     4.172,   -20.502,     0.000,   287.740,   325.908,    -1.982,   -15.683,     0.000,
