$,
XXH,
JDAY,DGP
44211.88,1.2
44211.92,1.2
44211.96,1.2
44212,1.2
44212.04,1.2
44212.08,1.2
44212.12,1.2
44212.17,1.2
44212.21,1.2
44212.25,1.2
44212.29,1.2
44212.33,1.2
44212.38,1.2
44212.42,1.2
44212.46,1.2
44212.5,1.2
44212.54,1.2
44212.58,1.2
44212.62,1.2
44212.67,1.2
44212.71,1.2
44212.75,1.2
44212.79,1.2
44212.83,1.2
44212.88,1.2
44212.92,1.2
44212.96,1.2
44213,1.2
44213.04,1.2
44213.08,1.2
44213.12,1.2
44213.17,1.2
44213.21,1.2
44213.25,1.2
44213.29,1.2
44213.33,1.2
44213.38,1.2
44213.42,1.2
44213.46,1.2
44213.5,1.2
44213.54,1.2
44213.58,1.2
44213.62,1.2
44213.67,1.2
44213.71,1.2
44213.75,1.2
44213.79,1.2
44213.83,1.2
44213.88,1.2
44213.92,1.2
44213.96,1.2
44214,1.2
44214.04,1.2
44214.08,1.2
44214.12,1.2
44214.17,1.2
44214.21,1.2
44214.25,1.2
44214.29,1.2
44214.33,1.2
44214.38,1.2
44214.42,1.2
44214.46,1.2
44214.5,1.2
44214.54,1.2
44214.58,1.2
44214.62,1.2
44214.67,1.2
44214.71,1.2
44214.75,1.2
44214.79,1.2
44214.83,1.2
44214.88,1.2
44214.92,1.2
44214.96,1.2
44215,1.2
44215.04,1.2
44215.08,1.2
44215.12,1.2
44215.17,1.2
44215.21,1.2
44215.25,1.2
44215.29,1.2
44215.33,1.2
44215.38,1.2
44215.42,1.2
44215.46,1.2
44215.5,1.2
44215.54,1.2
44215.58,1.2
44215.62,1.2
44215.67,1.2
44215.71,1.2
44215.75,1.2
44215.79,1.2
44215.83,1.2
44215.88,1.2
44215.92,1.2
44215.96,1.2
44216,1.2
44216.04,1.2
44216.08,1.2
44216.12,1.2
44216.17,1.2
44216.21,1.2
44216.25,1.2
44216.29,1.2
44216.33,1.2
44216.38,1.2
44216.42,1.2
44216.46,1.2
44216.5,1.2
44216.54,1.2
44216.58,1.2
44216.62,1.2
44216.67,1.2
44216.71,1.2
44216.75,1.2
44216.79,1.2
44216.83,1.2
44216.88,1.2
44216.92,1.2
44216.96,1.2
44217,1.2
44217.04,1.2
44217.08,1.2
44217.12,1.2
44217.17,1.2
44217.21,1.2
44217.25,1.2
44217.29,1.2
44217.33,1.2
44217.38,1.2
44217.42,1.2
44217.46,1.2
44217.5,1.2
44217.54,1.2
44217.58,1.2
44217.62,1.2
