station_code,station_name,mapping_variant,chainage_km_from_xld,model_segment,count,flagged_points_in_window,observed_mean_m,simulated_mean_m,bias_m,rmse_m,mae_m,observed_range_m,simulated_range_m,stage_correlation,observed_stage_q_slope_m_per_m3s,simulated_stage_q_slope_m_per_m3s,stage_q_slope_ratio,error_q_correlation
XLD,溪洛渡坝前,project_endpoint,0.0,222,157,0,576.2226751592357,576.3832166730308,0.16054151379512693,0.22651012168766121,0.1987414603370528,6.169999999999959,6.230000000000018,0.996219039507292,0.00013825635269547773,0.0001020824081005088,0.7383560039758509,-0.20931731089117775
SS,双狮,downstream_boundary_origin,6.3,215,157,0,576.0866242038217,576.3851046790734,0.2984804752517793,0.33866860332717613,0.3084755078755786,6.139999999999986,6.069000000000074,0.9958918407068907,0.00014730357479103697,0.0001030083382179816,0.699292860774818,-0.25594697308899134
HH,黄华,source_mapping,50.0,168,157,0,576.1021656050956,576.3781286468591,0.2759630417634818,0.3105689702194372,0.28504695677871195,6.1299999999999955,6.0330000000000155,0.9965118654350349,0.00014781449630397008,9.820861323568572e-05,0.6644044778512564,-0.32193964670313574
SLB,双龙坝,source_mapping,95.0,116,157,0,576.3007006369427,576.3760969875598,0.07539635061714177,0.17519527986549766,0.14769036773730615,6.17999999999995,6.017079207920574,0.9951352154402887,0.00015019164030671795,9.385289387236269e-05,0.6248876014716828,-0.3293998131505051
YMT,幺米沱,source_mapping,148.0,57,157,0,576.4365605095542,576.4149359237218,-0.021624585832367905,0.20352245050351486,0.1568757487455595,6.2299999999999045,6.250524752474348,0.991851891719883,0.00018842087371815597,0.00010805030498106313,0.5734518838007678,-0.3672083217186059
SJ,山江,source_mapping,172.0,26,157,0,577.3369426751592,576.5325908075292,-0.8043518676300355,0.8667099792130809,0.8166448612606092,6.07000000000005,6.153930693065831,0.9760109511041374,0.00038589707698284735,0.00015772907285232314,0.40873352575130806,-0.6535433426728977
BHT,白鹤滩坝下,project_endpoint,193.981,2,157,0,588.0038853503185,587.3555285825973,-0.6483567677211641,1.2572663865735967,0.8416412344346131,7.349999999999909,2.7761999999997897,0.9763031655896759,0.0018441862070519809,0.0007165052630043275,0.3885211050079889,-0.9679517394465481
SS,双狮,segment222_center_origin,6.3,214,157,0,576.0866242038217,576.3851817745536,0.2985575707320295,0.3386524527651606,0.30845069252780283,6.139999999999986,6.0610000000000355,0.9959087721539945,0.00014730357479103697,0.00010302842252882918,0.6994292071661127,-0.2561159848930391
