interval,downstream_segment,upstream_segment,length_km,count,observed_head_mean_m,simulated_head_mean_m,head_bias_m,head_rmse_m,observed_head_q_slope_m_per_m3s,simulated_head_q_slope_m_per_m3s,head_q_slope_ratio,head_error_q_correlation
XLD->SS,222,215,6.3,157,-0.1360509554140157,0.001888006042636595,0.13793896145665233,0.14244008170222774,9.047222095559271e-06,9.259301174728144e-07,nan,-0.211375395500633
SS->HH,215,168,43.7,157,0.015541401273889319,-0.0069760322144081215,-0.02251743348829744,0.06658807135433556,5.109215129330963e-07,-4.799724982295879e-06,nan,-0.07835791085107746
HH->SLB,168,116,45.0,157,0.19853503184713134,-0.0020316592992087276,-0.20056669114634004,0.21352124736579792,2.3771440027478524e-06,-4.3557193633230335e-06,nan,-0.08499720240997287
SLB->YMT,116,57,53.0,157,0.13585987261146595,0.03883893616195628,-0.09702093644950967,0.15525893091728885,3.8229233411438035e-05,1.4197411108700427e-05,0.37137577298247937,-0.18331778134975074
YMT->SJ,57,26,24.0,157,0.9003821656051006,0.11765488380743304,-0.7827272817976677,0.8113409677759331,0.00019747620326469135,4.967876787126003e-05,0.25156837659407527,-0.6398658464215179
SJ->BHT,26,2,21.980999999999995,157,10.66694267515923,10.822937775068102,0.15599509990887142,0.9075184395332215,0.0014582891300691336,0.0005587761901520044,0.38317243037086496,-0.9303086479246938
XLD->BHT,222,2,193.981,157,11.7812101910828,10.97231190956651,-0.8088982815162911,1.326409006417845,0.0017059298543565032,0.0006144228549038187,0.36016888580426787,-0.9600614850943091
